station,year,season,summacpreywt,nmacpreysp,nbenthivorespp,nstomtot,meanmacpreywt,meanbenthivorelen.simple,meanbenthivorelen.weighted,depthm,lat,lon,bWT,bSA,bDO,SST
NM20070901001,2007,FALL,2.7966,8,4,13,0.215123077,36.66459975,16.36141301,19.812,41.019,-71.824,17.01,31.26,7.16,18.19
NM20070901002,2007,FALL,2.0075,4,4,17,0.118088235,43.775464,9.961243451,12.8016,41.006,-71.969,18.26,31.64,7.22,18.99
NM20070901003,2007,FALL,9.5074,9,5,21,0.452733333,34.49654895,7.707568769,12.8016,40.944,-72.145,,,,
NM20070901004,2007,FALL,5.4039,7,5,18,0.300216667,38.08030889,7.183226072,11.5824,40.953,-72.12,16.42,31.48,7.18,18.68
NM20070901005,2007,FALL,0.7088,4,4,17,0.041694118,41.33915247,10.64374927,15.8496,40.961,-72.048,16.15,31.62,6.87,19.14
NM20070901006,2007,FALL,10.6569,6,5,18,0.59205,44.17549823,7.446820837,10.9728,40.939,-72.169,16.1,31.2,7.52,18.88
NM20070901007,2007,FALL,4.2667,9,4,16,0.26666875,34.61040838,27.95766993,15.5448,40.939,-72.108,15.74,31.25,7.32,19.02
NM20070901008,2007,FALL,15.3841,7,5,19,0.809689474,37.51088211,7.35112385,12.8016,40.835,-72.44,15.05,31.02,6.5,18.74
NM20070901009,2007,FALL,58.476,6,7,27,2.165777778,39.22729487,37.1396826,12.192,40.64,-73.111,18.97,30.89,7.4,20.22
NM20070901010,2007,FALL,8.1282,4,5,15,0.54188,30.3820576,7.169656395,18.288,40.784,-72.591,15.75,31.62,6.26,19.1
NM20070901011,2007,FALL,21.1448,7,6,26,0.813261538,40.09969102,32.91001277,15.8496,40.63,-73.106,18.97,30.89,7.4,20.22
NM20070901012,2007,FALL,4.4542,6,4,14,0.318157143,36.00826643,8.468647618,18.288,40.79966667,-72.52933333,16.37,31.17,6.34,18.9
NM20070901013,2007,FALL,55.8683,7,5,29,1.926493103,27.37685738,26.03533289,9.144,40.606,-73.38516667,20.04,30.84,6.26,20.3
NM20070901014,2007,FALL,17.3542,7,6,23,0.754530435,31.64215897,18.12608583,10.0584,40.55333333,-73.61166667,20.67,30.92,5.7,21.15
NM20070901015,2007,FALL,28.6804,8,7,36,0.796677778,34.79832867,21.15324762,13.4112,40.5815,-73.38233333,18.94,30.95,5.17,19.85
NM20070901016,2007,FALL,65.5813,7,6,16,4.09883125,48.86717639,27.03063962,17.6784,40.552,-73.3935,18.65,31.04,3.48,20.45
NM20070901017,2007,FALL,6.8989,8,7,29,0.237893103,34.78566113,7.285355673,15.24,40.50433333,-73.629,18.01,30.78,5.05,21.02
NM20070901018,2007,FALL,17.4335,4,5,16,1.08959375,43.65945096,50.55024751,8.5344,40.52066667,-73.91566667,19.92,30.34,5.5,19.96
NM20070901019,2007,FALL,5.5494,6,5,18,0.3083,43.56536069,9.601772441,7.9248,40.4445,-73.95133333,19.69,29.65,5.81,20.22
NM20070901020,2007,FALL,13.5662,9,7,32,0.42394375,32.32061652,23.39226019,15.24,40.54533333,-73.733,20.42,30.87,7.09,20.49
NM20070901021,2007,FALL,13.1848,6,6,28,0.470885714,29.65415123,8.891059127,15.24,40.49833333,-73.8575,19.59,30.71,7.05,20.09
NM20070901022,2007,FALL,7.61,7,6,33,0.230606061,34.81670239,6.988507117,16.764,40.22466667,-73.95283333,18.72,30.78,4.39,20.8
NM20070901023,2007,FALL,5.3625,10,8,30,0.17875,29.86190825,13.210688,9.144,39.79883333,-74.07366667,20.45,31.19,5.85,20.26
NM20070901024,2007,FALL,18.335,3,6,19,0.965,35.4528774,24.41080447,7.3152,39.738,-74.09466667,20.66,31.26,5.05,20.69
NM20070901025,2007,FALL,26.5776,9,8,35,0.75936,24.92861009,9.321438244,15.8496,39.81433333,-74.03033333,19.66,31.09,3.51,20.26
NM20070901026,2007,FALL,4.3808,7,4,14,0.312914286,41.62637945,6.487187372,19.812,40.043,-74.0095,17.07,30.75,2.55,21.1
NM20070901027,2007,FALL,4.9168,7,5,18,0.273155556,33.31642371,9.561224717,15.8496,40.14566667,-73.96533333,19.23,30.85,4.07,21.33
NM20070901028,2007,FALL,4.2618,8,6,24,0.177575,27.00723717,19.86587674,12.8016,39.5965,-74.176,20.27,31.1,4.4,21.8
NM20070901029,2007,FALL,6.0046,9,8,24,0.250191667,28.98689658,19.69229669,10.9728,39.57466667,-74.1955,19.75,31.09,3.55,21.5
NM20070901030,2007,FALL,12.5962,9,6,26,0.484469231,30.66081915,25.87733885,13.1064,39.26866667,-74.52733333,20.68,30.69,3.99,21.91
NM20070901031,2007,FALL,28.3461,9,7,26,1.090234615,28.37878945,23.20888388,7.0104,39.20283333,-74.625,21.25,30.71,4.87,21.94
NM20070901032,2007,FALL,69.94401,10,6,27,2.590518889,29.13527249,8.541547508,16.4592,39.55516667,-74.06516667,19.75,31.52,4.93,20.86
NM20070901033,2007,FALL,16.0632,11,6,22,0.730145455,33.41634328,18.93961177,16.4592,39.247,-74.32666667,19.26,30.82,3.86,22.07
NM20070901034,2007,FALL,7.1885,6,5,14,0.513464286,35.00625334,28.45099326,12.8016,39.28366667,-74.40433333,20.87,30.68,4.54,22.08
NM20070901035,2007,FALL,4.1073,6,5,24,0.1711375,28.45235953,20.87281389,12.8016,39.21916667,-74.52566667,18.37,31.04,2.41,21.65
NM20070901036,2007,FALL,5.5817,6,6,24,0.232570833,32.34124871,22.49436969,12.192,39.183,-74.57016667,19.94,30.7,3.71,21.69
NM20070901037,2007,FALL,59.9396,13,5,28,2.1407,29.13421549,11.75434409,18.288,39.57133333,-74.09966667,20.02,31.41,3.82,21.17
NM20070901038,2007,FALL,3.066,2,2,4,0.7665,42.3754455,44.48545217,7.62,38.972,-74.6435,21.59,30.98,5.75,21.96
NM20070901039,2007,FALL,6.5905,7,7,26,0.253480769,30.55446227,24.57009564,10.3632,39.05183333,-74.70983333,21.7,30.79,4.51,22.95
NM20070901040,2007,FALL,4.011,9,4,15,0.2674,29.98271115,17.73533875,11.5824,39.04133333,-74.64583333,21.62,30.9,5.18,22.53
NM20070901041,2007,FALL,5.3225,9,5,21,0.253452381,27.47002848,14.58633676,10.668,39.09866667,-74.6475,21.37,30.93,4.78,22.37
NM20070901042,2007,FALL,4.0525,7,5,14,0.289464286,29.4700694,25.35348073,10.668,38.999,-74.72816667,21.35,31.12,6.29,21.38
NM20070901043,2007,FALL,6.2609,9,6,18,0.347827778,31.80080786,22.92257179,16.1544,38.90966667,-74.703,21.5,31.34,6.92,22.23
NM20070901044,2007,FALL,4.4709,13,6,34,0.131497059,27.98747376,16.89356117,11.5824,38.92016667,-74.75066667,21.26,31.09,7.09,21.81
NM20070901045,2007,FALL,12.7375,5,5,25,0.5095,26.12311935,24.70715212,15.24,38.97633333,-74.77316667,21.58,31.04,6.26,21.92
NM20070901046,2007,FALL,5.0624,8,7,19,0.266442105,34.13767481,26.7911951,18.288,39.17383333,-74.527,17.92,30.89,2.63,21.47
NM20070901047,2007,FALL,4.3935,12,5,23,0.191021739,27.889294,19.89254926,11.2776,38.8695,-74.84416667,21.31,31.27,6.76,21.13
NM20070901048,2007,FALL,1.4892,7,4,18,0.082733333,33.84988978,13.02696915,14.9352,38.906,-74.85283333,21.8,31.17,6.65,21.65
NM20070901049,2007,FALL,5.5506,9,4,16,0.3469125,24.80891138,26.57423231,7.3152,38.85016667,-74.909,21.82,30.52,6.49,21.99
NM20070901050,2007,FALL,8.22,7,4,15,0.548,33.30661384,22.91960776,7.3152,38.87683333,-74.88966667,21.79,30.99,6.95,21.85
NM20070901051,2007,FALL,5.875,7,5,14,0.419642857,33.84816185,23.59610725,13.716,38.47266667,-74.9425,22.05,30.91,5.95,22.33
NM20070901052,2007,FALL,2393.022,3,3,5,478.6044,50.86624955,53.59810561,10.9728,38.6835,-74.7475,20.81,31.42,6.39,22.64
NM20070901053,2007,FALL,15.6368,7,5,20,0.78184,27.74351834,38.11372359,20.4216,38.84883333,-74.77816667,21,31.19,6.22,21.53
NM20070901054,2007,FALL,0.0583,3,4,11,0.0053,28.7358224,20.85479373,12.8016,38.69633333,-74.82266667,20.93,31.27,6.2,22.54
NM20070901055,2007,FALL,1.464,8,4,15,0.0976,27.25120215,25.9457433,13.716,38.77266667,-74.80466667,21.05,30.84,5.81,21.83
NM20070901056,2007,FALL,17.755,5,3,10,1.7755,38.78860144,50.84153816,11.8872,38.77933333,-74.904,21.72,30.5,5.29,22.33
NM20070901057,2007,FALL,8.836,7,7,39,0.226564103,30.44359158,22.48781312,18.288,38.5215,-74.93433333,21.16,30.96,4.96,22.14
NM20070901058,2007,FALL,19.2817,12,5,22,0.876440909,27.73932124,23.22808836,10.0584,38.81066667,-74.96066667,21.39,30.7,5.83,22.71
NM20070901059,2007,FALL,20.9062,5,4,21,0.995533333,31.70260677,18.18959628,10.668,38.3785,-75.03833333,22.76,30.87,5.69,24.09
NM20070901060,2007,FALL,23.9712,4,4,17,1.410070588,31.06314177,19.61509813,10.668,38.4005,-75.03066667,22.92,30.94,6.04,22.99
NM20070901061,2007,FALL,4.6962,9,6,25,0.187848,30.92349096,20.6607857,17.9832,38.41533333,-74.88783333,21.42,31.7,6.19,22.19
NM20070901062,2007,FALL,2.4947,9,4,14,0.178192857,36.27767587,17.00791765,16.764,38.37933333,-74.9455,21.87,31,5.25,24.33
NM20070901063,2007,FALL,2.6669,9,5,13,0.205146154,30.29562031,23.20680558,13.1064,38.08683333,-75.00316667,21.91,31.86,6.12,22.26
NM20070901064,2007,FALL,0.6528,6,4,14,0.046628571,32.54964609,14.75167582,15.8496,38.17733333,-74.99816667,22.01,31.46,6.38,22.24
NM20070901065,2007,FALL,14.1597,15,5,22,0.643622727,27.44600572,19.54186518,14.3256,38.424,-75.00533333,22.46,30.94,6.03,22.96
NM20070901066,2007,FALL,5.315,7,6,25,0.2126,28.36482124,17.08735182,15.8496,38.069,-75.0655,22.51,31.38,6.57,22.42
NM20070901067,2007,FALL,15.9509,12,5,23,0.693517391,32.28511574,13.97800185,18.8976,38.32133333,-74.9535,22.13,31.25,6.09,22.72
NM20070901068,2007,FALL,2.8054,6,5,19,0.147652632,36.71144936,17.92893611,19.2024,38.31233333,-74.82833333,20.76,31.8,5.5,22.83
NM20070901069,2007,FALL,23.7766,5,4,15,1.585106667,35.48311266,22.36880221,8.2296,37.893,-75.30516667,22.94,31.37,6.75,23.42
NM20070901070,2007,FALL,13.685,5,4,14,0.9775,35.31908094,17.56716439,6.096,37.876,-75.32566667,23.05,31.38,6.82,23.33
NM20070901071,2007,FALL,10.5617,4,4,13,0.812438462,35.01826092,22.80325086,11.2776,37.80433333,-75.38116667,23.28,31.36,5.85,23.25
NM20070901072,2007,FALL,16.1705,8,6,19,0.851078947,32.54051609,19.73618168,14.9352,37.68166667,-75.52416667,22.88,31.46,5.81,21.55
NM20070901073,2007,FALL,3.921,3,4,17,0.230647059,33.63899956,18.29027619,13.1064,37.6445,-75.5565,21.82,31.9,5.38,21.23
NM20070901074,2007,FALL,8.0916,10,4,9,0.899066667,42.66022182,49.86855061,17.3736,38.01466667,-74.972,21.77,32.21,6.82,22.16
NM20070901075,2007,FALL,2.4968,6,3,11,0.226981818,30.44907691,25.31384969,18.5928,37.94166667,-75.1505,22.34,31.67,6.6,22.25
NM20070901076,2007,FALL,3.5317,6,3,11,0.321063636,29.85300127,13.27014898,17.6784,37.8405,-75.20666667,22.08,31.91,6.47,22.41
NM20070901077,2007,FALL,3.5841,4,3,7,0.512014286,38.27526192,16.83887997,14.9352,37.80216667,-75.27366667,21.93,32.12,6.22,21.88
NM20070901078,2007,FALL,8.1148,9,5,22,0.368854545,27.84815762,20.03268068,12.192,37.85966667,-75.26633333,22.38,31.64,6.16,23
NM20070901079,2007,FALL,9.91,5,3,9,1.101111111,43.72412631,58.49245304,10.9728,37.79683333,-75.29866667,22.37,31.69,6.12,22.17
NM20070901080,2007,FALL,3.5798,6,6,21,0.170466667,27.77780369,21.53132025,15.8496,37.73733333,-75.36266667,22.4,31.71,6.37,22.19
NM20070901081,2007,FALL,8.6646,5,3,10,0.86646,35.36637239,51.05424427,11.5824,37.5965,-75.38283333,21.53,32.28,6.71,21.86
NM20070901082,2007,FALL,13.0588,5,5,15,0.870586667,35.348903,26.24841071,10.668,37.77316667,-75.4035,22.83,31.49,6.96,22.7
NM20070901083,2007,FALL,0.0974,3,2,6,0.016233333,38.60372633,16.52908724,11.2776,37.546,-75.47983333,21.69,31.78,5.86,20.62
NM20070901084,2007,FALL,2.5971,7,5,14,0.185507143,30.27084204,13.22221838,12.4968,37.54733333,-75.50966667,22.53,31.5,6.08,21.88
NM20070901085,2007,FALL,1.203,2,2,4,0.30075,61.31842347,62.89515619,8.8392,37.37333333,-75.6385,22.26,31.71,6.23,21.46
NM20070901086,2007,FALL,0.7867,6,4,6,0.131116667,42.87521967,47.0216425,8.8392,37.28116667,-75.68166667,22.24,31.57,6.36,22.06
NM20070901087,2007,FALL,15.0596,5,4,10,1.50596,28.4722358,38.80426182,6.096,37.39483333,-75.6565,22.34,31.7,6.3,22.03
NM20070901088,2007,FALL,4.3614,3,4,10,0.43614,33.51468367,14.02467765,20.1168,37.2175,-75.58483333,21.65,32.07,7.49,22.47
NM20070901089,2007,FALL,2.912,1,1,3,0.970666667,69.35329267,69.35329267,11.5824,37.34183333,-75.571,22.25,31.56,6.39,21.6
NM20070901090,2007,FALL,0.339,2,2,4,0.08475,63.21110432,64.23366423,11.5824,37.3165,-75.57566667,22.19,31.56,6.07,21.28
NM20070901091,2007,FALL,1.9492,9,3,9,0.216577778,34.48149846,42.04595601,12.192,37.2925,-75.60616667,22.18,31.66,6,21.85
NM20070901092,2007,FALL,0.3772,7,2,8,0.04715,30.57251275,24.7971504,8.8392,37.24433333,-75.67066667,22.24,31.56,6.25,22.05
NM20070901093,2007,FALL,0.4503,1,4,6,0.07505,41.72315567,50.61108441,8.5344,37.13,-75.79933333,21.62,32.09,5.99,21.24
NM20070901094,2007,FALL,1.4109,3,5,17,0.082994118,25.10655553,16.03900448,9.144,37.14666667,-75.77566667,22.06,31.7,6.26,21.7
NM20070901095,2007,FALL,1.7164,6,4,14,0.1226,26.75292386,13.54516114,9.144,36.94433333,-75.89083333,22.32,30.14,6.06,21.44
NM20070901096,2007,FALL,0.3549,1,2,6,0.05915,21.83333333,21.83333333,9.7536,36.99266667,-75.91083333,22.01,30.31,6.33,21.61
NM20070901097,2007,FALL,15.0591,4,5,16,0.94119375,31.55036052,23.11311177,8.2296,36.731,-75.92733333,22.38,31.53,6.42,22.75
NM20070901098,2007,FALL,5.7582,2,4,20,0.28791,26.0325659,17.87217666,7.9248,36.85533333,-75.9565,22.65,30.99,6.49,23.27
NM20070901099,2007,FALL,2.5048,2,3,6,0.417466667,33.117694,33.117694,7.0104,37.06333333,-75.88416667,21.82,31.25,6.65,20.48
NM20070901100,2007,FALL,2.0777,6,3,13,0.159823077,25.92213462,13.23990989,18.288,36.6305,-75.77866667,22.25,31.85,7.29,23.22
NM20070901101,2007,FALL,1.01,2,2,4,0.2525,52.5984855,62.05023578,15.8496,37.16733333,-75.6005,21.41,32.3,7.73,22.32
NM20070901102,2007,FALL,3.159,2,2,5,0.6318,58.18423827,59.23565618,14.3256,37.09233333,-75.675,21.81,31.97,7.21,22.39
NM20070901103,2007,FALL,6.3951,4,3,11,0.581372727,29.24821582,18.96186462,12.8016,37.01116667,-75.745,22.23,31.58,7.42,22.84
NM20070901104,2007,FALL,0.9316,3,4,14,0.066542857,28.03832614,14.51570491,16.4592,36.85333333,-75.77666667,22.19,31.6,7.59,22.85
NM20070901105,2007,FALL,3.1924,5,4,11,0.290218182,30.62362527,13.5193089,14.6304,36.675,-75.81233333,22.19,31.89,7.19,22.65
NM20070901106,2007,FALL,0.751,4,5,19,0.039526316,26.03051232,14.07657167,14.9352,36.776,-75.82416667,22.41,31.45,7.26,22.88
NM20070901107,2007,FALL,1.4481,2,4,12,0.120675,29.48598583,13.39090814,16.764,36.70616667,-75.839,22.4,31.57,7.36,22.71
NM20070901108,2007,FALL,0.2334,2,3,9,0.025933333,33.66326111,14.00623581,14.3256,36.873,-75.82733333,22.25,31.47,7.12,23.25
