"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1980","Stratum_1"," [g]",9744.49826900242,1517.9021264826,0.208166576745692
"1","1981","Stratum_1"," [g]",25046.7014238466,4396.23798506685,0.246869950340045
"1","1982","Stratum_1"," [g]",16299.408645438,3079.491729331,0.266175735682671
"1","1983","Stratum_1"," [g]",11478.3537124433,2450.6553861501,0.303783244761127
"1","1984","Stratum_1"," [g]",19394.3886866947,3538.4172856165,0.254241976261829
"1","1985","Stratum_1"," [g]",9769.01685862445,1828.06249607846,0.261949585049312
"1","1986","Stratum_1"," [g]",11623.243996318,2147.58670670698,0.256422168056606
"1","1987","Stratum_1"," [g]",15969.3105692338,2655.38397953354,0.229107577506499
"1","1988","Stratum_1"," [g]",11947.152934137,2037.2922118482,0.234136424374179
"1","1989","Stratum_1"," [g]",15989.4473921073,2754.34082675514,0.236518790464859
"1","1990","Stratum_1"," [g]",12019.3965592259,2111.83978210778,0.241963438218477
"1","1991","Stratum_1"," [g]",21105.4937309885,3655.5445737944,0.237199803512707
"1","1992","Stratum_1"," [g]",17444.7237761916,3092.0469116478,0.23863704316768
"1","1980","Stratum_2"," [g]",2456.55175794291,447.588801127075,0.251676762684921
"1","1981","Stratum_2"," [g]",9792.28405927575,1908.76148549339,0.272469462544733
"1","1982","Stratum_2"," [g]",7380.10890148695,1570.86602141503,0.298924043986094
"1","1983","Stratum_2"," [g]",5319.70546161342,1294.64009974869,0.349582015319332
"1","1984","Stratum_2"," [g]",8506.63784275703,1798.0701003792,0.297565449952057
"1","1985","Stratum_2"," [g]",3959.84958966379,847.701818758915,0.300829449835029
"1","1986","Stratum_2"," [g]",4978.88604100443,1070.86439209714,0.302495643612474
"1","1987","Stratum_2"," [g]",6368.10993652917,1210.19671475352,0.261878968148626
"1","1988","Stratum_2"," [g]",5362.71310625177,1023.5525032124,0.262707370976505
"1","1989","Stratum_2"," [g]",6809.80838106711,1314.13185391415,0.261441342305805
"1","1990","Stratum_2"," [g]",4691.83708888395,941.048820469957,0.277392029951119
"1","1991","Stratum_2"," [g]",9054.10831122899,1763.7068984892,0.267385623149524
"1","1992","Stratum_2"," [g]",7958.97371045857,1641.32704492518,0.27666488124843
"1","1980","Stratum_3"," [g]",2645.39031919456,488.796073775694,0.240505234838864
"1","1981","Stratum_3"," [g]",5675.14018728013,1275.15242684696,0.320890690796272
"1","1982","Stratum_3"," [g]",3779.13120624155,871.693531117689,0.32831810147659
"1","1983","Stratum_3"," [g]",2729.62041458011,637.213964516484,0.3291781759748
"1","1984","Stratum_3"," [g]",4852.44157859454,1021.29775425017,0.287235708276208
"1","1985","Stratum_3"," [g]",2147.65301206424,497.499757085146,0.328815353349509
"1","1986","Stratum_3"," [g]",2943.4594409897,615.549660487816,0.287026816601108
"1","1987","Stratum_3"," [g]",4531.4563201746,873.952273378988,0.263951410811736
"1","1988","Stratum_3"," [g]",3635.76257000104,729.640185337731,0.27063907290455
"1","1989","Stratum_3"," [g]",4673.83870784054,924.336133046831,0.272641095443357
"1","1990","Stratum_3"," [g]",3063.64386542709,611.622767734098,0.273127902126356
"1","1991","Stratum_3"," [g]",5926.60293611527,1198.36349349497,0.27901486759747
"1","1992","Stratum_3"," [g]",4677.7728795808,915.524260386307,0.264934462979241
"1","1980","Stratum_4"," [g]",3147.82203816696,543.736105405243,0.230918929818485
"1","1981","Stratum_4"," [g]",6275.73438292109,1258.60123596573,0.284752191150286
"1","1982","Stratum_4"," [g]",3604.27655171767,719.412843557089,0.279692022569729
"1","1983","Stratum_4"," [g]",2353.27012732709,523.43596826694,0.313348148012397
"1","1984","Stratum_4"," [g]",4114.72426859594,816.746671394308,0.277305850097367
"1","1985","Stratum_4"," [g]",2652.28388107404,519.021294211479,0.27007327386401
"1","1986","Stratum_4"," [g]",2492.5427444121,470.406253747245,0.262142467289007
"1","1987","Stratum_4"," [g]",3395.77487984864,619.279927529563,0.252399488118228
"1","1988","Stratum_4"," [g]",1776.83580266106,320.645823235292,0.251433548195008
"1","1989","Stratum_4"," [g]",2854.80384819038,498.565399814719,0.24369762611829
"1","1990","Stratum_4"," [g]",2732.83846435089,496.290000974945,0.250534775057906
"1","1991","Stratum_4"," [g]",4254.32987795803,735.995929400879,0.233608165873397
"1","1992","Stratum_4"," [g]",3097.34704676688,527.79501585625,0.22790729684887
"1","1980","Stratum_5"," [g]",1494.73415369799,341.698450991294,0.303379937317131
"1","1981","Stratum_5"," [g]",3303.54279436966,739.403915489478,0.306969945152377
"1","1982","Stratum_5"," [g]",1535.89198599176,399.428678522868,0.367413182994981
"1","1983","Stratum_5"," [g]",1075.75770892268,301.755159866682,0.398361732437336
"1","1984","Stratum_5"," [g]",1920.58499674715,472.211334618023,0.343672922267043
"1","1985","Stratum_5"," [g]",1009.23037582237,234.746967310507,0.323337203769304
"1","1986","Stratum_5"," [g]",1208.35576991178,269.86461650697,0.301167809051243
"1","1987","Stratum_5"," [g]",1673.96943268143,386.759237154597,0.321146665629719
"1","1988","Stratum_5"," [g]",1171.84145522318,282.102433916712,0.338303492954449
"1","1989","Stratum_5"," [g]",1650.99645500928,377.475143491537,0.319161742670749
"1","1990","Stratum_5"," [g]",1531.07714056397,356.343753095745,0.319535639280319
"1","1991","Stratum_5"," [g]",1870.45260568619,421.622879846633,0.307845854503258
"1","1992","Stratum_5"," [g]",1710.63013938539,373.615850022817,0.298160107328231
