"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1980","Stratum_1"," [g]",40321.6204863488,5804.3531389603,0.18445764495873
"1","1981","Stratum_1"," [g]",141671.918797374,22185.1496146884,0.204093316640434
"1","1982","Stratum_1"," [g]",194899.107448957,26681.9604481476,0.174830034847791
"1","1983","Stratum_1"," [g]",72254.2838961497,11920.6441649403,0.215419622934712
"1","1984","Stratum_1"," [g]",92253.0900373579,15410.1663430166,0.217910667062471
"1","1985","Stratum_1"," [g]",94328.8981153948,13714.6994307229,0.185015166542811
"1","1986","Stratum_1"," [g]",115206.146199707,17717.2548870161,0.196017183532457
"1","1987","Stratum_1"," [g]",135670.085458952,19798.6669962647,0.185688396428896
"1","1988","Stratum_1"," [g]",86312.8789067822,12758.0291265385,0.189626963353575
"1","1989","Stratum_1"," [g]",92201.5470392146,13367.8766125945,0.184726059979274
"1","1990","Stratum_1"," [g]",106376.190048901,15690.3383378919,0.188062886675382
"1","1991","Stratum_1"," [g]",119296.44574025,17951.9923558753,0.190884944553264
"1","1992","Stratum_1"," [g]",99364.7953239458,14331.1474225113,0.181197375982643
"1","1980","Stratum_2"," [g]",15758.1321890857,2633.13109679886,0.21246869818243
"1","1981","Stratum_2"," [g]",50174.0393008668,8581.62278423562,0.218817755714613
"1","1982","Stratum_2"," [g]",65564.2097188088,10366.0528845817,0.201384399119778
"1","1983","Stratum_2"," [g]",25059.9584748529,4550.75154589726,0.233906415756179
"1","1984","Stratum_2"," [g]",33179.4979261399,6041.58689718373,0.234098761300725
"1","1985","Stratum_2"," [g]",35137.0962522523,5785.77705053868,0.209092531601251
"1","1986","Stratum_2"," [g]",41430.1205680936,7156.67758577365,0.217627089308386
"1","1987","Stratum_2"," [g]",61840.4627259329,10052.133888507,0.204589591923612
"1","1988","Stratum_2"," [g]",30125.1515834801,5414.2608945689,0.232447831533495
"1","1989","Stratum_2"," [g]",40517.354949944,6576.06717094038,0.203352487003703
"1","1990","Stratum_2"," [g]",34685.305251291,5766.23860227577,0.210969216797797
"1","1991","Stratum_2"," [g]",50890.000881695,8645.50197645523,0.211893032641637
"1","1992","Stratum_2"," [g]",38409.546831181,6049.60064049039,0.193807467081692
"1","1980","Stratum_3"," [g]",16415.990697024,2918.09263331597,0.227220024627645
"1","1981","Stratum_3"," [g]",46581.6459843539,9500.24341032247,0.266819383120796
"1","1982","Stratum_3"," [g]",70128.6162440956,12370.9879338935,0.225660444123639
"1","1983","Stratum_3"," [g]",28894.2224470403,5966.6075001322,0.269779192094627
"1","1984","Stratum_3"," [g]",37852.5664550984,8303.86151364121,0.289012982288532
"1","1985","Stratum_3"," [g]",38188.8060362747,6784.77387491905,0.224258109762602
"1","1986","Stratum_3"," [g]",42412.6829829917,7842.04057043745,0.234641645467625
"1","1987","Stratum_3"," [g]",47986.7120147016,8502.61472125832,0.225067230780278
"1","1988","Stratum_3"," [g]",34782.5050739038,5951.50114227761,0.215675887518867
"1","1989","Stratum_3"," [g]",31593.0285195424,5378.52624130701,0.216743271702081
"1","1990","Stratum_3"," [g]",44590.8615124,7779.56685989701,0.220375191927087
"1","1991","Stratum_3"," [g]",42474.8282381389,7469.31731586825,0.223182703544143
"1","1992","Stratum_3"," [g]",38934.6006886486,6434.24134696019,0.207279971347677
"1","1980","Stratum_4"," [g]",5642.46994940386,991.17822334088,0.228646375707382
"1","1981","Stratum_4"," [g]",31842.8025008171,6319.43568141936,0.261416158053569
"1","1982","Stratum_4"," [g]",37262.9424527059,6169.09519075647,0.211268861936835
"1","1983","Stratum_4"," [g]",13142.4411109311,2795.4203806726,0.280498565811454
"1","1984","Stratum_4"," [g]",15043.9267448418,2725.54284156625,0.234416396393595
"1","1985","Stratum_4"," [g]",14276.6053972685,2494.219667096,0.225558127034772
"1","1986","Stratum_4"," [g]",19505.3326560533,3542.1002221959,0.236466960697938
"1","1987","Stratum_4"," [g]",15607.0029666391,2788.48362328809,0.235358145215214
"1","1988","Stratum_4"," [g]",14827.6952119091,2685.6882296685,0.234065777888568
"1","1989","Stratum_4"," [g]",13563.7961439545,2331.01810605914,0.224184346337293
"1","1990","Stratum_4"," [g]",17853.3584685333,3029.95110078022,0.22011803485584
"1","1991","Stratum_4"," [g]",18199.1268912958,3140.54227383276,0.224046254968003
"1","1992","Stratum_4"," [g]",14653.9875546031,2462.85634478367,0.216077564935889
"1","1980","Stratum_5"," [g]",2505.02765083514,614.759795078523,0.324149318547503
"1","1981","Stratum_5"," [g]",13073.4310113362,3383.40792899255,0.348678875732535
"1","1982","Stratum_5"," [g]",21943.3390333453,4587.69958166749,0.267955144714226
"1","1983","Stratum_5"," [g]",5157.66186332543,1426.00927868946,0.375375818312297
"1","1984","Stratum_5"," [g]",6177.09891127761,1675.00694298457,0.368033330003155
"1","1985","Stratum_5"," [g]",6726.39042959921,1476.54760992967,0.287029189232117
"1","1986","Stratum_5"," [g]",11858.0099925682,2835.71445073008,0.311597342581755
"1","1987","Stratum_5"," [g]",10235.9077516782,2190.28884284473,0.278522199580269
"1","1988","Stratum_5"," [g]",6577.52703748913,1578.73048754397,0.320976858434181
"1","1989","Stratum_5"," [g]",6527.36742577388,1612.91205975155,0.334996453089025
"1","1990","Stratum_5"," [g]",9246.66481667716,2088.41090643721,0.296960481299453
"1","1991","Stratum_5"," [g]",7732.48972912027,1845.14859763764,0.320325844987818
"1","1992","Stratum_5"," [g]",7366.66024951324,1939.16793495417,0.356625390232945
