"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1980","Stratum_1"," [g]",978.676374781504,243.282526373302,0.354032074677714
"1","1981","Stratum_1"," [g]",3398.03920709092,762.93333593718,0.332820768528797
"1","1982","Stratum_1"," [g]",2269.89551388914,560.385459274009,0.382006542641881
"1","1983","Stratum_1"," [g]",2245.51439933053,628.27314326509,0.437300675890784
"1","1984","Stratum_1"," [g]",1758.33791606928,426.896802360464,0.374003523401913
"1","1985","Stratum_1"," [g]",2808.88310820271,676.492364860479,0.35618570843039
"1","1986","Stratum_1"," [g]",2724.03645465405,625.063434182457,0.342025369208016
"1","1987","Stratum_1"," [g]",3138.94218224194,695.887367299846,0.326737399399435
"1","1988","Stratum_1"," [g]",3209.60837421303,737.437108008512,0.338506746883392
"1","1989","Stratum_1"," [g]",3094.67628629018,732.443977809604,0.337407300266741
"1","1990","Stratum_1"," [g]",2459.13028128798,583.799983858733,0.341601300507195
"1","1991","Stratum_1"," [g]",2952.64810131615,699.281153579601,0.339580915586209
"1","1992","Stratum_1"," [g]",3344.57465141009,744.849835882171,0.321110006997723
"1","1980","Stratum_2"," [g]",742.880310843721,204.037053074473,0.384283378861611
"1","1981","Stratum_2"," [g]",2063.81833754571,523.087878783729,0.372231211573735
"1","1982","Stratum_2"," [g]",1654.22311858608,440.757271414388,0.408284862048112
"1","1983","Stratum_2"," [g]",1708.43819860671,514.674644429188,0.46943610750577
"1","1984","Stratum_2"," [g]",1085.361209556,293.972537321829,0.418451049688629
"1","1985","Stratum_2"," [g]",2038.66032661748,523.508343155024,0.374911693087079
"1","1986","Stratum_2"," [g]",1415.9691647303,371.021155056898,0.395316991063458
"1","1987","Stratum_2"," [g]",2045.77308442922,503.410448007578,0.358779328171239
"1","1988","Stratum_2"," [g]",2377.0305186498,587.804561746323,0.360066337711687
"1","1989","Stratum_2"," [g]",2539.30920092616,631.611922320571,0.349280400413649
"1","1990","Stratum_2"," [g]",1842.3448327563,466.192562965151,0.360956373746998
"1","1991","Stratum_2"," [g]",2154.78972521848,551.163871183375,0.362606982869975
"1","1992","Stratum_2"," [g]",2190.81900581519,520.145331499149,0.341452737759236
"1","1980","Stratum_3"," [g]",123.965066913954,31.1441164973111,0.36847839017669
"1","1981","Stratum_3"," [g]",456.830611307256,123.281659028012,0.430084331821165
"1","1982","Stratum_3"," [g]",326.403668831324,91.3051908017064,0.447889683654784
"1","1983","Stratum_3"," [g]",290.575632249949,87.2966675365514,0.473952823411266
"1","1984","Stratum_3"," [g]",355.487915154068,93.278461935713,0.398249839216115
"1","1985","Stratum_3"," [g]",382.821850298345,120.456141639012,0.499604771403814
"1","1986","Stratum_3"," [g]",641.673742191313,165.035510748122,0.377016577725724
"1","1987","Stratum_3"," [g]",553.767616903232,134.181674419705,0.358972313190549
"1","1988","Stratum_3"," [g]",425.427284949279,114.001527009706,0.400880470991479
"1","1989","Stratum_3"," [g]",246.186001840377,64.2758200987055,0.396740897082728
"1","1990","Stratum_3"," [g]",367.861362326879,93.4896794169397,0.366823337768146
"1","1991","Stratum_3"," [g]",436.165188806354,105.531350421684,0.351615521628667
"1","1992","Stratum_3"," [g]",610.959681283775,155.661041088285,0.365116145662051
"1","1980","Stratum_4"," [g]",63.4391402246146,15.0781676058145,0.369775479377305
"1","1981","Stratum_4"," [g]",347.667948609139,91.0304764018631,0.412921104924079
"1","1982","Stratum_4"," [g]",170.820790313318,46.8966141237073,0.431051272063669
"1","1983","Stratum_4"," [g]",150.005429976357,42.8756639330094,0.448994712466743
"1","1984","Stratum_4"," [g]",200.423470888562,51.9438482949895,0.399074419188968
"1","1985","Stratum_4"," [g]",296.65128031348,84.8977503302569,0.420372987277359
"1","1986","Stratum_4"," [g]",367.15557947928,86.0380392343128,0.35728250863236
"1","1987","Stratum_4"," [g]",291.333850716177,67.3688084568528,0.355358236845393
"1","1988","Stratum_4"," [g]",178.471679879188,42.2169988204559,0.373414165966602
"1","1989","Stratum_4"," [g]",164.209590110803,40.4173622639379,0.378980190208042
"1","1990","Stratum_4"," [g]",143.630416699984,34.2449263595258,0.362557971314347
"1","1991","Stratum_4"," [g]",178.75757470693,42.0032260617569,0.357195419868233
"1","1992","Stratum_4"," [g]",272.216442922186,58.6988810703598,0.314900628585821
"1","1980","Stratum_5"," [g]",48.3918567992164,15.1456474849128,0.489763317923582
"1","1981","Stratum_5"," [g]",529.722309628812,157.195294186271,0.413728532326545
"1","1982","Stratum_5"," [g]",118.447936158414,41.3116666286072,0.552542664936364
"1","1983","Stratum_5"," [g]",96.4951384975153,35.8373302403027,0.590804398299355
"1","1984","Stratum_5"," [g]",117.065320470648,39.3315260999304,0.527817633048485
"1","1985","Stratum_5"," [g]",90.7496509734066,27.216399898078,0.454693298946465
"1","1986","Stratum_5"," [g]",299.237968253159,82.8013220089876,0.393465083907075
"1","1987","Stratum_5"," [g]",248.067630193315,74.8904914482951,0.45857205711964
"1","1988","Stratum_5"," [g]",228.678890734759,71.1776333516803,0.479064759553627
"1","1989","Stratum_5"," [g]",144.971493412839,44.9905614850826,0.479541446729153
"1","1990","Stratum_5"," [g]",105.293669504809,33.238611251788,0.487762980622501
"1","1991","Stratum_5"," [g]",182.93561258438,54.8286221177946,0.451191912441135
"1","1992","Stratum_5"," [g]",270.57952138894,80.4844597593767,0.438507638076811
