"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1980","Stratum_1"," [g]",8492.68048696437,1782.42796441548,0.305056925403279
"1","1981","Stratum_1"," [g]",42837.3759331397,9045.70634931916,0.301164678533391
"1","1982","Stratum_1"," [g]",19110.2697340933,3828.22970218441,0.285595582461535
"1","1983","Stratum_1"," [g]",13961.9839007133,3118.84490909098,0.322820156209038
"1","1984","Stratum_1"," [g]",17363.6870649611,3847.69910697285,0.317135031811053
"1","1985","Stratum_1"," [g]",15403.287804278,2982.99968032301,0.270292920419083
"1","1986","Stratum_1"," [g]",23280.2082623712,4631.58266263674,0.279169507760556
"1","1987","Stratum_1"," [g]",13935.4682546448,2623.42380128366,0.261209473081954
"1","1988","Stratum_1"," [g]",19102.1230901692,3567.37702513352,0.265648176960853
"1","1989","Stratum_1"," [g]",18552.0320637096,3563.92069244868,0.263900596172313
"1","1990","Stratum_1"," [g]",17918.6362272811,3411.14884637458,0.263928437141873
"1","1991","Stratum_1"," [g]",15492.8373531216,2968.69237559756,0.264118329310276
"1","1992","Stratum_1"," [g]",16146.3327745736,3134.80463439574,0.268378690062357
"1","1980","Stratum_2"," [g]",3502.78852542212,787.141101629705,0.321552149242506
"1","1981","Stratum_2"," [g]",11150.6836114429,2523.8486241204,0.317805983657671
"1","1982","Stratum_2"," [g]",6686.47092776049,1461.91675684708,0.308656150234271
"1","1983","Stratum_2"," [g]",5910.26997723546,1352.55400163759,0.322439364625577
"1","1984","Stratum_2"," [g]",7188.95792059384,1648.08743647766,0.317479454903643
"1","1985","Stratum_2"," [g]",4908.89292072661,1028.82739834318,0.292554479831401
"1","1986","Stratum_2"," [g]",8583.82598893604,1840.7361552267,0.295220750789636
"1","1987","Stratum_2"," [g]",5164.51960243694,1035.43460508538,0.274880079759497
"1","1988","Stratum_2"," [g]",6799.33449784977,1442.33096496978,0.30250519065237
"1","1989","Stratum_2"," [g]",9169.02757220273,1783.35679759885,0.2603914235005
"1","1990","Stratum_2"," [g]",6171.89454927332,1274.71255948156,0.282297321602937
"1","1991","Stratum_2"," [g]",5985.20482326762,1236.7113202119,0.281414196245709
"1","1992","Stratum_2"," [g]",5808.86062942036,1175.93790711433,0.270539186725566
"1","1980","Stratum_3"," [g]",3184.16506105296,864.050359140658,0.394334869123315
"1","1981","Stratum_3"," [g]",16408.0091700726,4202.78332518817,0.362244964561965
"1","1982","Stratum_3"," [g]",7602.45334165081,1941.51809470864,0.36136234809101
"1","1983","Stratum_3"," [g]",5257.66204857109,1483.38653292819,0.409852263602999
"1","1984","Stratum_3"," [g]",6210.74045428331,1830.83085535072,0.429523395511412
"1","1985","Stratum_3"," [g]",7034.70502517936,1626.02659913798,0.317979034570705
"1","1986","Stratum_3"," [g]",10068.419570856,2413.64582926128,0.334529709572819
"1","1987","Stratum_3"," [g]",5972.84233841742,1367.03433520421,0.312710384953956
"1","1988","Stratum_3"," [g]",7846.07024499192,1716.1586685947,0.301471944159146
"1","1989","Stratum_3"," [g]",6103.89785973866,1457.20289882439,0.328203126752082
"1","1990","Stratum_3"," [g]",7627.3730118883,1649.36830721409,0.293544039169445
"1","1991","Stratum_3"," [g]",6750.44297648121,1456.49009020324,0.292193324429405
"1","1992","Stratum_3"," [g]",7229.74593703104,1618.15013413264,0.306829970464766
"1","1980","Stratum_4"," [g]",992.246918471059,256.601620454672,0.386738822156346
"1","1981","Stratum_4"," [g]",7431.60008946312,1938.55360994263,0.382940312912551
"1","1982","Stratum_4"," [g]",2622.84870503227,626.457700363239,0.348504214052938
"1","1983","Stratum_4"," [g]",1661.15664237513,475.776665783613,0.432008954959081
"1","1984","Stratum_4"," [g]",2424.10549724907,624.317051024651,0.375757672245932
"1","1985","Stratum_4"," [g]",1644.40426124929,393.172684877549,0.350924532996207
"1","1986","Stratum_4"," [g]",2865.37697462067,697.935602924939,0.357017150670224
"1","1987","Stratum_4"," [g]",1727.07968104051,416.224507371662,0.354409468118558
"1","1988","Stratum_4"," [g]",2536.90669599742,601.724897127903,0.354281768157914
"1","1989","Stratum_4"," [g]",1973.10611813984,504.042316947004,0.373366479674001
"1","1990","Stratum_4"," [g]",2308.61684758066,553.412400309557,0.351857794257989
"1","1991","Stratum_4"," [g]",1580.99717737086,378.825207324668,0.352481045573876
"1","1992","Stratum_4"," [g]",1581.80646631483,384.533029269111,0.36151702030894
"1","1980","Stratum_5"," [g]",813.479982018262,270.015752317857,0.499720700169275
"1","1981","Stratum_5"," [g]",7847.08306216105,2588.83871625419,0.476771359925106
"1","1982","Stratum_5"," [g]",2198.4967596497,671.924090954323,0.44865371250017
"1","1983","Stratum_5"," [g]",1132.89523253165,407.395308625648,0.546209420657944
"1","1984","Stratum_5"," [g]",1539.88319283487,532.904112153032,0.523706603921534
"1","1985","Stratum_5"," [g]",1815.28559712277,514.596139694804,0.400323423774928
"1","1986","Stratum_5"," [g]",1762.58572795848,548.370452644669,0.462561701766603
"1","1987","Stratum_5"," [g]",1071.02663274999,316.643553764937,0.433444541817768
"1","1988","Stratum_5"," [g]",1919.81165133005,606.607585795292,0.477656983673158
"1","1989","Stratum_5"," [g]",1306.00051362841,416.604538012295,0.481014874042717
"1","1990","Stratum_5"," [g]",1810.75181853888,533.489264821747,0.438225522490234
"1","1991","Stratum_5"," [g]",1176.19237600192,368.045003365891,0.468274501976557
"1","1992","Stratum_5"," [g]",1525.91974180739,515.380399485389,0.517217177243528
