"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [g]",4620583632.17931,356697008.219661,0.0931952699904031
"1","1983","Stratum_1"," [g]",2484161010.07708,200165714.317194,0.0980434661280449
"1","1984","Stratum_1"," [g]",2736768940.15706,213504372.64883,0.096475033946578
"1","1985","Stratum_1"," [g]",2961530529.24233,169693125.860908,0.0683825086366008
"1","1986","Stratum_1"," [g]",3434726443.94379,235923735.9738,0.0833581856955751
"1","1987","Stratum_1"," [g]",5401639749.26603,346129793.292851,0.0787589643332743
"1","1988","Stratum_1"," [g]",5720370773.19275,415529798.956607,0.090713675584164
"1","1989","Stratum_1"," [g]",1578285466.20369,342278900.392563,0.297105861383641
"1","1990","Stratum_1"," [g]",610903602.927911,134539576.868755,0.302678909291302
"1","1991","Stratum_1"," [g]",1937022153.32365,219414752.228919,0.14771873482791
"1","1992","Stratum_1"," [g]",4711216571.21325,520513233.217432,0.144654320612399
"1","1993","Stratum_1"," [g]",1215478647.92977,157396303.604445,0.172661964051393
"1","1994","Stratum_1"," [g]",1819598026.06863,174757264.914232,0.124573323858848
"1","1995","Stratum_1"," [g]",3080007505.12038,244032818.962096,0.0992996690325081
"1","1996","Stratum_1"," [g]",2231463329.79754,227168556.534065,0.133107502751716
"1","1997","Stratum_1"," [g]",3170560187.80155,282443393.222537,0.113039731921169
"1","1998","Stratum_1"," [g]",947084652.583512,82649402.7307782,0.112597441053789
"1","1999","Stratum_1"," [g]",1974230899.32986,192176393.970865,0.122841487619091
"1","2000","Stratum_1"," [g]",1636364313.92919,145896004.47635,0.112355451211555
"1","2001","Stratum_1"," [g]",4182588746.9453,364655496.592367,0.110599380551344
"1","2002","Stratum_1"," [g]",4906390629.43314,373944846.841122,0.0952839750146748
"1","2003","Stratum_1"," [g]",6683544189.49,636617712.845038,0.123495475081019
"1","2004","Stratum_1"," [g]",6948164036.0946,458659777.420991,0.0818909833286306
"1","2005","Stratum_1"," [g]",4403870382.30689,319049484.750762,0.0911749511610101
"1","2006","Stratum_1"," [g]",3322405381.54435,238688019.233035,0.0899457796731076
"1","2007","Stratum_1"," [g]",4908693331.1804,397501454.505969,0.103253900115378
"1","2008","Stratum_1"," [g]",3576661726.6288,271553085.798341,0.0953175772984751
"1","2009","Stratum_1"," [g]",3296933485.85104,399315794.296253,0.157957067687636
"1","2010","Stratum_1"," [g]",1742611420.50664,152361546.21917,0.110502082227966
"1","2011","Stratum_1"," [g]",1751482393.68984,199857256.165433,0.149061827874248
"1","2012","Stratum_1"," [g]",1808523463.20932,137419513.166709,0.0950200458746272
"1","2013","Stratum_1"," [g]",2565040032.49899,238248395.211171,0.121089642683222
"1","2014","Stratum_1"," [g]",679034808.791791,78277381.6026217,0.150389222722636
"1","2015","Stratum_1"," [g]",599301304.924008,75709713.9650044,0.169645844888012
"1","2016","Stratum_1"," [g]",1413748858.19069,172112996.970484,0.162168692764193
"1","2017","Stratum_1"," [g]",516643060.387017,80781858.478328,0.214883449009929
"1","2018","Stratum_1"," [g]",1654583941.25744,286701112.866232,0.24122230991798
"1","2019","Stratum_1"," [g]",4836325461.43396,564962821.012281,0.153933693476417
"1","2020","Stratum_1"," [g]",0,0,0
"1","2021","Stratum_1"," [g]",575013952.758123,65735696.6849402,0.146985199456133
"1","1982","Stratum_2"," [g]",775182822.396337,78578459.5623776,0.121349499762382
"1","1983","Stratum_2"," [g]",555356166.457216,53492829.8079035,0.112143278966385
"1","1984","Stratum_2"," [g]",670504739.903302,56044453.2844609,0.0966524716002959
"1","1985","Stratum_2"," [g]",682958548.081386,57237332.89345,0.0972029044212562
"1","1986","Stratum_2"," [g]",885854633.696648,56923217.0260123,0.0732656058569393
"1","1987","Stratum_2"," [g]",1899005392.86215,161763564.523729,0.0992809300255046
"1","1988","Stratum_2"," [g]",2537086653.62314,227063193.64215,0.10762417571913
"1","1989","Stratum_2"," [g]",210502460.072698,63812994.0467577,0.420253821942912
"1","1990","Stratum_2"," [g]",71480362.6803356,22637546.7328186,0.440933124914859
"1","1991","Stratum_2"," [g]",204777211.876541,39191573.6428073,0.251011922505643
"1","1992","Stratum_2"," [g]",900672063.897021,155812176.606788,0.224297081900211
"1","1993","Stratum_2"," [g]",212262871.383382,45137157.3027005,0.283911976977816
"1","1994","Stratum_2"," [g]",329717691.663036,44512263.6110845,0.17061313318882
"1","1995","Stratum_2"," [g]",742482036.345425,104437171.310211,0.172504284618051
"1","1996","Stratum_2"," [g]",552172336.736797,58804403.142153,0.128999546717754
"1","1997","Stratum_2"," [g]",312590494.58281,36433279.4925361,0.14432160080123
"1","1998","Stratum_2"," [g]",158311036.602232,21380807.2659274,0.174209965849238
"1","1999","Stratum_2"," [g]",78614500.2143602,11656189.734008,0.185460499276175
