"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [g]",78774806.0649559,9757947.70768292,0.154687152132705
"1","1983","Stratum_1"," [g]",48297894.2492917,4278471.67788228,0.108653660710277
"1","1984","Stratum_1"," [g]",64963396.2785701,5574435.231776,0.105449216539788
"1","1985","Stratum_1"," [g]",105581063.06424,9325192.05975362,0.105171014201189
"1","1986","Stratum_1"," [g]",82860968.8337776,6894424.86229528,0.101092336114394
"1","1987","Stratum_1"," [g]",77572310.9316596,9655527.7613832,0.155788200651734
"1","1988","Stratum_1"," [g]",41964769.2144895,4948529.51685094,0.14993110487427
"1","1989","Stratum_1"," [g]",130686032.439025,25108494.3758104,0.258687570217846
"1","1990","Stratum_1"," [g]",44533365.5587252,9343005.38667994,0.282996150206114
"1","1991","Stratum_1"," [g]",58059162.0912361,8240000.84516438,0.186968494182362
"1","1992","Stratum_1"," [g]",58108856.268315,7986054.84791986,0.174552904083843
"1","1993","Stratum_1"," [g]",68677100.9917837,9969781.64761241,0.189377493435418
"1","1994","Stratum_1"," [g]",134140170.96303,15372034.7124688,0.148813649154007
"1","1995","Stratum_1"," [g]",150266267.143212,12083068.6474802,0.101107197908527
"1","1996","Stratum_1"," [g]",161899798.743623,18797937.0547786,0.148755130981658
"1","1997","Stratum_1"," [g]",162196696.127017,16651969.2774833,0.130869083616288
"1","1998","Stratum_1"," [g]",93598052.7776293,10691785.9590182,0.148088345033839
"1","1999","Stratum_1"," [g]",139265142.552114,12864776.955569,0.117106318947091
"1","2000","Stratum_1"," [g]",195684101.644072,19522435.4079378,0.127106022304076
"1","2001","Stratum_1"," [g]",107893926.185316,11432521.664619,0.134070932016997
"1","2002","Stratum_1"," [g]",125388074.615275,10431195.181794,0.103179288277317
"1","2003","Stratum_1"," [g]",148518085.235718,14761664.9049789,0.125655984825926
"1","2004","Stratum_1"," [g]",77979476.4286082,9035848.17479626,0.144890733005872
"1","2005","Stratum_1"," [g]",106956769.755873,14538857.5649768,0.173190519226872
"1","2006","Stratum_1"," [g]",241207332.435277,23508260.6550448,0.121681580041609
"1","2007","Stratum_1"," [g]",49715273.6715134,5832242.29784816,0.147077866035273
"1","2008","Stratum_1"," [g]",84760578.2375724,8301623.60911134,0.123449541226311
"1","2009","Stratum_1"," [g]",107645786.0443,13002086.4762712,0.154940882197873
"1","2010","Stratum_1"," [g]",137746068.189252,13346636.8627431,0.122247949705181
"1","2011","Stratum_1"," [g]",81207312.0397438,8727605.28617182,0.1364235364123
"1","2012","Stratum_1"," [g]",208292637.249956,19916484.3288774,0.121302748433842
"1","2013","Stratum_1"," [g]",118011293.548938,14757641.4327627,0.161584741066702
"1","2014","Stratum_1"," [g]",141933850.969577,15416587.1726921,0.140582265294103
"1","2015","Stratum_1"," [g]",139413997.017052,18203996.4218694,0.171543109739958
"1","2016","Stratum_1"," [g]",122520162.215356,15536572.7412749,0.16562939991408
"1","2017","Stratum_1"," [g]",166178223.074882,27659349.4616166,0.223503993712152
"1","2018","Stratum_1"," [g]",197576402.911448,28695241.7335888,0.191097064388079
"1","2019","Stratum_1"," [g]",126356043.272776,14229325.3012648,0.144173314788719
"1","2020","Stratum_1"," [g]",0,0,0
"1","2021","Stratum_1"," [g]",214436650.648109,27005616.814341,0.162871672261866
"1","2022","Stratum_1"," [g]",219938436.005922,27148606.3132472,0.163273206534284
"1","2023","Stratum_1"," [g]",48368944.5334322,5915352.1824822,0.156732975887461
"1","1982","Stratum_2"," [g]",28934435.2827563,3432577.74792946,0.146619607908224
"1","1983","Stratum_2"," [g]",17805288.7806297,1836920.24975774,0.124558339400054
"1","1984","Stratum_2"," [g]",34757344.1882106,3065968.14497805,0.104179879692214
"1","1985","Stratum_2"," [g]",37697176.8921128,3556999.76620196,0.11165380996216
"1","1986","Stratum_2"," [g]",35279118.8790634,3147635.78327119,0.104349257466535
"1","1987","Stratum_2"," [g]",20087171.1221843,2006728.66187379,0.119588955713552
"1","1988","Stratum_2"," [g]",21253063.1160084,2878294.41177428,0.166714855417636
"1","1989","Stratum_2"," [g]",53174000.9585619,13102717.9235013,0.330865780576387
"1","1990","Stratum_2"," [g]",16666972.516536,4011576.28452774,0.320551256523017
"1","1991","Stratum_2"," [g]",19935426.8150841,3758802.85040249,0.248801298485741
"1","1992","Stratum_2"," [g]",23408799.4751783,3141706.31289325,0.16394741960598
"1","1993","Stratum_2"," [g]",35626890.7578575,5983408.34813697,0.213372295305223
"1","1994","Stratum_2"," [g]",67254161.1275496,10181687.6156144,0.194529395905319
"1","1995","Stratum_2"," [g]",66812767.1193761,7738973.51003446,0.145132751142031
"1","1996","Stratum_2"," [g]",58153362.9031605,7388043.66944112,0.158532641209977
"1","1997","Stratum_2"," [g]",70168745.72697,9550030.81053108,0.172284143106085
"1","1998","Stratum_2"," [g]",50293851.7489745,7893106.40767399,0.203471702387436
"1","1999","Stratum_2"," [g]",65172086.917873,6975193.03073054,0.132807936398732
"1","2000","Stratum_2"," [g]",84905677.1052787,10297482.8830609,0.152189002841768
"1","2001","Stratum_2"," [g]",56078995.821879,6664313.58970873,0.14796142028291
"1","2002","Stratum_2"," [g]",50567958.3821369,5756856.23604252,0.140380326498688
"1","2003","Stratum_2"," [g]",65232612.1572989,9038216.47372203,0.174106164749356
"1","2004","Stratum_2"," [g]",24746840.9281864,3266355.05088578,0.165976662217488
"1","2005","Stratum_2"," [g]",36982100.2237137,4072805.10139803,0.136076076995206
"1","2006","Stratum_2"," [g]",107987861.277765,12564470.0518818,0.143181026803067
"1","2007","Stratum_2"," [g]",17169937.9211134,2343925.84454386,0.16992713309607
"1","2008","Stratum_2"," [g]",41351450.7249187,4608697.52841458,0.136168629941599
"1","2009","Stratum_2"," [g]",49672488.4491164,5624855.07271835,0.138963479774013
"1","2010","Stratum_2"," [g]",74691993.979333,8411515.15013115,0.13992673190959
"1","2011","Stratum_2"," [g]",49392238.921418,5972229.94157497,0.149258589686357
"1","2012","Stratum_2"," [g]",70620138.5656641,8395739.34388782,0.146891536186717
"1","2013","Stratum_2"," [g]",43426324.6870278,5686806.47531809,0.165288825771387
"1","2014","Stratum_2"," [g]",66840071.7770729,8405945.15453921,0.158395696367075
"1","2015","Stratum_2"," [g]",43385220.8937274,6556022.29148041,0.194617695814987
"1","2016","Stratum_2"," [g]",43372466.7046473,5208752.88159152,0.150405956530439
"1","2017","Stratum_2"," [g]",77824808.459658,15660702.1893411,0.2683804003261
"1","2018","Stratum_2"," [g]",95703885.8143843,12479579.156256,0.16194154328298
"1","2019","Stratum_2"," [g]",49222466.5519305,5872323.11452444,0.146845709389217
"1","2020","Stratum_2"," [g]",0,0,0
"1","2021","Stratum_2"," [g]",52408872.2388698,6267072.11137933,0.150194420267105
"1","2022","Stratum_2"," [g]",91866506.3005898,13483889.2198533,0.191522709850802
"1","2023","Stratum_2"," [g]",26848797.5684795,3554967.74075326,0.16334394441873
"1","1982","Stratum_3"," [g]",11170333.6381733,1549513.3859638,0.169015017923547
"1","1983","Stratum_3"," [g]",19053170.3311772,2591634.06246978,0.160195773566897
"1","1984","Stratum_3"," [g]",11587215.8618546,1677975.61033549,0.175097252191898
"1","1985","Stratum_3"," [g]",44310401.7500281,7195926.29274288,0.186238390094196
"1","1986","Stratum_3"," [g]",14717620.7889858,1732440.18544351,0.139237704576091
"1","1987","Stratum_3"," [g]",7584424.67366568,1161526.35318824,0.186951443791689
"1","1988","Stratum_3"," [g]",5902925.29586984,898650.018580159,0.187283499418086
"1","1989","Stratum_3"," [g]",22993202.4912031,3321994.24346698,0.175806851095461
"1","1990","Stratum_3"," [g]",4535744.5632339,657579.755909731,0.178546624541104
"1","1991","Stratum_3"," [g]",7125799.95621056,952835.195740308,0.162746343640424
"1","1992","Stratum_3"," [g]",5588409.05451476,811466.752058969,0.177598350296787
"1","1993","Stratum_3"," [g]",7876101.4987883,1140604.41847251,0.175680034646442
"1","1994","Stratum_3"," [g]",23503358.0453776,3933502.24370627,0.213140789138814
"1","1995","Stratum_3"," [g]",24245585.8320807,3262348.83877365,0.168656550785757
"1","1996","Stratum_3"," [g]",33516946.9559727,4270213.77805976,0.154587043096163
"1","1997","Stratum_3"," [g]",28338968.2954616,3411219.24246965,0.146222756149784
"1","1998","Stratum_3"," [g]",13730561.2988008,2057494.04657799,0.186731646993635
"1","1999","Stratum_3"," [g]",24568596.5420345,3060528.05040707,0.150898149745126
"1","2000","Stratum_3"," [g]",24639871.4266832,3179306.88137126,0.158935914730896
"1","2001","Stratum_3"," [g]",10941363.2072253,1522343.25119887,0.173494447559525
"1","2002","Stratum_3"," [g]",34465889.7778603,4106929.72779418,0.142010362570076
"1","2003","Stratum_3"," [g]",29556358.5666725,3750582.96057056,0.152368966020516
"1","2004","Stratum_3"," [g]",22306024.0884843,3388595.04134314,0.181004368759165
"1","2005","Stratum_3"," [g]",12897905.0431955,1533168.6069526,0.144654242657776
"1","2006","Stratum_3"," [g]",55323095.6789441,6778157.15822514,0.14813103077357
"1","2007","Stratum_3"," [g]",19378608.9217784,3461387.11120001,0.212688051840296
"1","2008","Stratum_3"," [g]",15524757.4749274,2105478.26909949,0.165717366260773
"1","2009","Stratum_3"," [g]",18353587.2900765,2498997.2037946,0.164788547990508
"1","2010","Stratum_3"," [g]",18357155.0465068,2090540.95784313,0.13680343848775
"1","2011","Stratum_3"," [g]",12528515.3021294,2090203.75485515,0.206605226087465
"1","2012","Stratum_3"," [g]",30827920.1372051,3520688.99823764,0.139238982007145
"1","2013","Stratum_3"," [g]",23028423.1436429,3304674.27813051,0.175744056787327
"1","2014","Stratum_3"," [g]",25835772.2781402,3624907.66789091,0.175914509108059
"1","2015","Stratum_3"," [g]",32486972.44753,4662041.15254807,0.177706917184831
"1","2016","Stratum_3"," [g]",28269823.6497983,3887560.05999681,0.170978688464871
"1","2017","Stratum_3"," [g]",45713659.9369579,9681999.49287538,0.273605270990368
"1","2018","Stratum_3"," [g]",24539464.6513942,4703062.25339361,0.248362458944897
"1","2019","Stratum_3"," [g]",30863573.0367677,3731979.42054002,0.146730657017882
"1","2020","Stratum_3"," [g]",0,0,0
"1","2021","Stratum_3"," [g]",49828225.0523518,6469470.40987278,0.157012396747157
"1","2022","Stratum_3"," [g]",53789722.9276049,8065527.99116161,0.187579235042311
"1","2023","Stratum_3"," [g]",5962725.09069576,1100409.24924521,0.235274309316042
"1","1982","Stratum_4"," [g]",34013090.8788236,8083021.27669186,0.298729404805066
