"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [g]",5836253072.98945,382401947.016304,0.0763499277108032
"1","1983","Stratum_1"," [g]",3091081625.38244,206709055.464101,0.0780767492894413
"1","1984","Stratum_1"," [g]",2753447616.71472,180100518.960199,0.0764094361554371
"1","1985","Stratum_1"," [g]",3393665535.73275,160861960.85391,0.0540268635783754
"1","1986","Stratum_1"," [g]",3878543881.69916,213241105.434364,0.0631536912419849
"1","1987","Stratum_1"," [g]",5437339579.97495,290107859.376772,0.0619076755872771
"1","1988","Stratum_1"," [g]",5587684211.99268,350196336.852351,0.0734853368737717
"1","1989","Stratum_1"," [g]",1876262146.28688,361818093.692224,0.245470925268332
"1","1990","Stratum_1"," [g]",1656351747.19331,314283316.31478,0.243353290490183
"1","1991","Stratum_1"," [g]",2884341635.02527,265394315.582578,0.112128405739953
"1","1992","Stratum_1"," [g]",6040941501.8068,572937080.446498,0.116217784594033
"1","1993","Stratum_1"," [g]",3623320102.62919,390488946.871036,0.13521565285958
"1","1994","Stratum_1"," [g]",3141562023.77959,234615409.123719,0.0909813723657851
"1","1995","Stratum_1"," [g]",3639197712.32671,248928317.754176,0.0810327966054823
"1","1996","Stratum_1"," [g]",3353953824.7401,274312723.04966,0.100005322646961
"1","1997","Stratum_1"," [g]",4317511037.37835,310146997.94318,0.0864642823201621
"1","1998","Stratum_1"," [g]",3192631676.40128,227076027.464532,0.0865997470253124
"1","1999","Stratum_1"," [g]",4311917500.01184,288663943.141852,0.0799332139850204
"1","2000","Stratum_1"," [g]",3424400820.40159,230772767.454976,0.0806386812346841
"1","2001","Stratum_1"," [g]",6007476415.9559,402429145.663421,0.0800796876226589
"1","2002","Stratum_1"," [g]",5601405103.48775,345466273.625364,0.0729714369465079
"1","2003","Stratum_1"," [g]",8333987916.93466,645925690.421403,0.0943694059734352
"1","2004","Stratum_1"," [g]",8237185819.49844,447630371.424042,0.0640499265183237
"1","2005","Stratum_1"," [g]",5276223389.41607,326521637.042844,0.073922517589274
"1","2006","Stratum_1"," [g]",5334567191.6623,309745104.557124,0.0687343248031314
"1","2007","Stratum_1"," [g]",5045261316.50719,345865272.79279,0.0820076916360941
"1","2008","Stratum_1"," [g]",4624945269.20897,286411283.831745,0.0734289692440636
"1","2009","Stratum_1"," [g]",4995678964.146,458638992.098245,0.11177568047033
"1","2010","Stratum_1"," [g]",2536123206.6305,174474116.887088,0.0821139683406274
"1","2011","Stratum_1"," [g]",2853002559.33118,233093893.76688,0.0991290357690929
"1","2012","Stratum_1"," [g]",3003435283.93912,176494421.274973,0.0696048954851991
"1","2013","Stratum_1"," [g]",3493820468.70956,270660385.289727,0.0946773450215726
"1","2014","Stratum_1"," [g]",2685258214.81477,200311045.506936,0.0910045983873782
"1","2015","Stratum_1"," [g]",2772744083.73361,244046363.911803,0.109588292069403
"1","2016","Stratum_1"," [g]",2010535819.7184,186279304.288912,0.114469811279172
"1","2017","Stratum_1"," [g]",2400626960.50366,296425483.455291,0.159548148673975
"1","2018","Stratum_1"," [g]",3888891431.6947,495490892.200792,0.161559499812389
"1","2019","Stratum_1"," [g]",6888667335.31539,654594557.255033,0.11669317681461
"1","2020","Stratum_1"," [g]",0,0,0
"1","2021","Stratum_1"," [g]",2200237289.94889,175061873.060986,0.0961820360432106
"1","2022","Stratum_1"," [g]",1682704150.47634,158688960.777773,0.117790775824291
"1","2023","Stratum_1"," [g]",4923106152.46667,372569147.798489,0.0907737491130648
"1","1982","Stratum_2"," [g]",1109925188.12174,86877689.8873111,0.0890515058430204
"1","1983","Stratum_2"," [g]",814659288.123767,58430500.3316515,0.0805877606520004
"1","1984","Stratum_2"," [g]",827831162.365296,56468663.474447,0.0760453629675182
"1","1985","Stratum_2"," [g]",1114351761.03076,68036465.1847103,0.068081153329449
"1","1986","Stratum_2"," [g]",1409057588.04222,71673552.852818,0.0560751306558301
