"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [g]",16034678770.9436,1309186179.70829,0.0957490811308311
"1","1983","Stratum_1"," [g]",15289834679.5656,1093804063.73027,0.0826576990410127
"1","1984","Stratum_1"," [g]",14221729870.5407,795203150.66976,0.0636626761398104
"1","1985","Stratum_1"," [g]",10073245311.2363,685827258.097359,0.0771617934724228
"1","1986","Stratum_1"," [g]",11254399655.5746,728880926.570099,0.0737093695929403
"1","1987","Stratum_1"," [g]",10543167151.1451,789636337.177055,0.0876607857366926
"1","1988","Stratum_1"," [g]",14150589046.8208,1033702054.59554,0.0849240312500746
"1","1989","Stratum_1"," [g]",16387091461.8601,3020447087.35427,0.235739426071063
"1","1990","Stratum_1"," [g]",17098472740.1635,3215560432.07615,0.242236342847716
"1","1991","Stratum_1"," [g]",16425084331.1591,1714820592.56463,0.12675265569142
"1","1992","Stratum_1"," [g]",17022791281.2671,1758540669.56395,0.125933135109754
"1","1993","Stratum_1"," [g]",13771299263.533,1250678916.26398,0.109890854469696
"1","1994","Stratum_1"," [g]",24897507107.9131,2602030576.474,0.12880996465075
"1","1995","Stratum_1"," [g]",10832090488.0739,926363265.280246,0.101676683190725
"1","1996","Stratum_1"," [g]",31289096858.0134,3494006455.44126,0.138730921617234
"1","1997","Stratum_1"," [g]",21866854859.5631,1829971688.57977,0.101364436583684
"1","1998","Stratum_1"," [g]",23874737455.6303,2361616133.00992,0.122366689107859
"1","1999","Stratum_1"," [g]",16221248236.3694,1459419946.137,0.107883272213776
"1","2000","Stratum_1"," [g]",28407224551.8472,3041208125.9738,0.132161776986059
"1","2001","Stratum_1"," [g]",10629597066.1968,1122082815.15583,0.128041812094862
"1","2002","Stratum_1"," [g]",13053024113.7259,1037897927.50395,0.0942506807635401
"1","2003","Stratum_1"," [g]",7584936549.6155,750225545.664088,0.120147201980725
"1","2004","Stratum_1"," [g]",6539258698.35921,530514695.601381,0.0962348428153627
"1","2005","Stratum_1"," [g]",5190278925.29502,629074136.612888,0.148143227637399
"1","2006","Stratum_1"," [g]",13997553885.5407,1465397401.58023,0.125962810976152
"1","2007","Stratum_1"," [g]",7177224484.73106,635302673.167354,0.10484893190793
"1","2008","Stratum_1"," [g]",11116351580.8816,882547566.431621,0.0944902871633648
"1","2009","Stratum_1"," [g]",9147533013.71297,784748166.779107,0.102562083835899
"1","2010","Stratum_1"," [g]",14763005205.0892,1779741010.67579,0.14811090954078
"1","2011","Stratum_1"," [g]",11533181918.776,1193886072.77232,0.126379729017326
"1","2012","Stratum_1"," [g]",20323435768.732,2493247739.45067,0.152249720160035
"1","2013","Stratum_1"," [g]",17817666526.2275,2329629419.39639,0.165502614690241
"1","2014","Stratum_1"," [g]",10637670588.5108,1082860700.49943,0.123637258248465
"1","2015","Stratum_1"," [g]",18092878355.294,2538508335.09549,0.179557276159027
"1","2016","Stratum_1"," [g]",16995740579.758,2591659712.60079,0.197202481826056
"1","2017","Stratum_1"," [g]",12006095520.6273,1799081020.54212,0.194966031088021
"1","2018","Stratum_1"," [g]",14978407189.4691,2124085594.97983,0.18225763869392
"1","2019","Stratum_1"," [g]",16139618336.8414,2260760347.57868,0.176179853344998
"1","2020","Stratum_1"," [g]",0,0,0
"1","2021","Stratum_1"," [g]",11548570896.5224,1215688768.40233,0.127202549097739
"1","1982","Stratum_2"," [g]",6243475027.51364,493724377.756586,0.0892078637778702
"1","1983","Stratum_2"," [g]",6431512518.21997,408696514.562093,0.070872859941905
"1","1984","Stratum_2"," [g]",6702765582.62688,431948713.53929,0.0712125090903407
"1","1985","Stratum_2"," [g]",2803812822.11118,186799245.777843,0.073569121761276
"1","1986","Stratum_2"," [g]",3524632627.04242,220230182.524698,0.0686629948595321
"1","1987","Stratum_2"," [g]",3459510413.24763,226319852.470941,0.0729131047569887
"1","1988","Stratum_2"," [g]",7338416675.11213,765738859.384528,0.12011102149877
"1","1989","Stratum_2"," [g]",4896446471.69183,1671513594.55595,0.459568092684619
"1","1990","Stratum_2"," [g]",4494267058.96204,1507099229.38588,0.453225864925256
"1","1991","Stratum_2"," [g]",3471931973.2034,562497751.455182,0.196661822141125
"1","1992","Stratum_2"," [g]",8862321047.19417,1357094821.61749,0.185738690596478
"1","1993","Stratum_2"," [g]",2904341010.14081,423783287.74829,0.179271405785469
"1","1994","Stratum_2"," [g]",5494780673.37524,636487357.676695,0.13919801640247
"1","1995","Stratum_2"," [g]",1584511114.00525,160825875.61741,0.118616800767091
"1","1996","Stratum_2"," [g]",8627654671.16575,717801400.008298,0.0969864277690276
"1","1997","Stratum_2"," [g]",5537945174.78606,615889889.840255,0.133147043003351
"1","1998","Stratum_2"," [g]",8300342489.06505,1110356323.58574,0.165123315903802
"1","1999","Stratum_2"," [g]",3343115830.80811,500867831.72619,0.175806494000543
"1","2000","Stratum_2"," [g]",5458590916.57716,545581770.500791,0.117909163490608
"1","2001","Stratum_2"," [g]",1875530179.30696,185559545.54609,0.117039548103871
"1","2002","Stratum_2"," [g]",2931726519.0869,259792583.23007,0.101642599051314
"1","2003","Stratum_2"," [g]",1332135082.51412,160702743.300835,0.145561926186991
"1","2004","Stratum_2"," [g]",2355392635.99285,230097440.372267,0.114015282276561
"1","2005","Stratum_2"," [g]",1337272759.51196,153727289.126004,0.133880900619349
"1","2006","Stratum_2"," [g]",2798863685.54734,272895101.536067,0.11362429496031
"1","2007","Stratum_2"," [g]",2361924172.85048,240127443.459652,0.116039409977969
"1","2008","Stratum_2"," [g]",4440363205.70325,395167777.424668,0.102146848004751
"1","2009","Stratum_2"," [g]",2358049766.7226,194055310.204929,0.095282156391619
"1","2010","Stratum_2"," [g]",3288102011.46859,307050896.308308,0.109453350713487
"1","2011","Stratum_2"," [g]",3265451078.9601,327536602.887718,0.117277508012343
