"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [g]",5520625454.2186,367883231.110974,0.0790188699770132
"1","1983","Stratum_1"," [g]",3408623021.50419,214233557.995739,0.0750149188427716
"1","1984","Stratum_1"," [g]",4999307923.69521,321692441.555713,0.0761355276932889
"1","1985","Stratum_1"," [g]",3444882877.62308,238699322.470297,0.0817206218738726
"1","1986","Stratum_1"," [g]",5540557830.54293,345329984.512933,0.0740208647955617
"1","1987","Stratum_1"," [g]",13023330119.497,801223895.137215,0.0734589498278414
"1","1988","Stratum_1"," [g]",3158949023.16123,305324371.426721,0.123952692757569
"1","1989","Stratum_1"," [g]",1235035381.97191,211430937.543415,0.223940172824442
"1","1990","Stratum_1"," [g]",1797966245.87063,292434254.04854,0.213834192232798
"1","1991","Stratum_1"," [g]",136047313.81328,24044702.4111145,0.226667278920494
"1","1992","Stratum_1"," [g]",3961852427.10113,419928608.673061,0.132799258952081
"1","1993","Stratum_1"," [g]",4531807724.96765,403590415.614151,0.109690489145319
"1","1994","Stratum_1"," [g]",4881432014.38239,450905654.461023,0.115350587788626
"1","1995","Stratum_1"," [g]",5209310145.92045,380604282.624413,0.0889264652870192
"1","1996","Stratum_1"," [g]",9837978247.26823,891200152.398618,0.114408252846592
"1","1997","Stratum_1"," [g]",4000308902.60397,334078814.430495,0.103259802598427
"1","1998","Stratum_1"," [g]",6493158632.22415,466521326.2518,0.0883262614356103
"1","1999","Stratum_1"," [g]",3647722693.67014,317034215.130705,0.106938704338161
"1","2000","Stratum_1"," [g]",10604862675.3005,1001983152.145,0.11869988675448
"1","2001","Stratum_1"," [g]",10054549600.8487,1033057356.94824,0.129118074066545
"1","2002","Stratum_1"," [g]",6780562620.57569,549520767.635386,0.0982777854885447
"1","2003","Stratum_1"," [g]",6733130969.29324,627921404.372919,0.115506019626011
"1","2004","Stratum_1"," [g]",14553188386.2529,1242510757.5135,0.106587268008529
"1","2005","Stratum_1"," [g]",8706178551.25368,618771570.493315,0.0860147385836721
"1","2006","Stratum_1"," [g]",5428293137.54351,401283882.697653,0.0898583055953494
"1","2007","Stratum_1"," [g]",7315771404.45001,527985631.595094,0.0883165487921356
"1","2008","Stratum_1"," [g]",2757705546.81818,247716376.183998,0.112880278892344
"1","2009","Stratum_1"," [g]",6959450121.34802,556855972.210653,0.0976976420154666
"1","2010","Stratum_1"," [g]",5678730695.59118,419111376.967943,0.0906874571103111
"1","2011","Stratum_1"," [g]",3760032235.1859,291719042.658481,0.0944139058595597
"1","2012","Stratum_1"," [g]",3555581544.83103,293983852.588582,0.102239057084831
"1","2013","Stratum_1"," [g]",7456985526.1968,740356506.219235,0.124941385391162
"1","2014","Stratum_1"," [g]",8154113853.47784,863903986.916217,0.138261155479031
"1","2015","Stratum_1"," [g]",11903252937.0067,1185135764.44925,0.125735653014185
"1","2016","Stratum_1"," [g]",11848354834.7684,1067821926.712,0.111822246518014
"1","2017","Stratum_1"," [g]",7697337704.74531,729691011.099703,0.118729410053516
"1","2018","Stratum_1"," [g]",12147151797.4819,1481697639.38507,0.16115864468864
"1","2019","Stratum_1"," [g]",5844227171.76872,496175438.631455,0.10693614435467
"1","2020","Stratum_1"," [g]",4097105255.45854,1598151752.60834,0.576835571227355
"1","2021","Stratum_1"," [g]",4962970647.41768,471872037.372461,0.120407989467914
"1","2022","Stratum_1"," [g]",5434465221.12037,549289345.707709,0.12832494291948
"1","2023","Stratum_1"," [g]",8126496016.23108,913387471.695451,0.143826882283512
