"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [g]",16497623.3204657,1567225.8756896,0.122875516899011
"1","1983","Stratum_1"," [g]",10477606.4258459,1092720.66491089,0.135623261894948
"1","1984","Stratum_1"," [g]",20781610.1285781,1991406.51114425,0.123817238252634
"1","1985","Stratum_1"," [g]",20055344.8049733,2490609.74674854,0.16126886689847
"1","1986","Stratum_1"," [g]",22867439.5121649,2442004.87158138,0.136506902363891
"1","1987","Stratum_1"," [g]",88975753.624621,9746161.97754532,0.14092743385746
"1","1988","Stratum_1"," [g]",27125131.740151,4348140.01871811,0.210229974400598
"1","1989","Stratum_1"," [g]",11250582.6812639,2872305.07692707,0.376843425928659
"1","1990","Stratum_1"," [g]",13267421.3296379,2523283.23681749,0.272964976244392
"1","1991","Stratum_1"," [g]",2781654.1699671,741519.475778223,0.391795158322283
"1","1992","Stratum_1"," [g]",19463033.0645456,2467849.88322968,0.174070776184248
"1","1993","Stratum_1"," [g]",26499755.7206776,2915009.65277134,0.14545168241782
"1","1994","Stratum_1"," [g]",28007493.8618754,3647810.29522807,0.177308933390479
"1","1995","Stratum_1"," [g]",35007412.6609978,3483998.9857649,0.130588537187603
"1","1996","Stratum_1"," [g]",62534837.0329198,6862118.9272562,0.148142555974413
"1","1997","Stratum_1"," [g]",36525601.5398144,4280059.33260889,0.157412853478064
"1","1998","Stratum_1"," [g]",37032334.9698723,3877305.2769487,0.139707530741532
"1","1999","Stratum_1"," [g]",24117592.4250677,2723265.188944,0.151466548014715
"1","2000","Stratum_1"," [g]",65311852.9093387,7550234.96678694,0.153466624131416
"1","2001","Stratum_1"," [g]",57826665.9489124,8062679.70306517,0.189350492588137
"1","2002","Stratum_1"," [g]",33907028.2022416,3514956.02121279,0.134605474704672
"1","2003","Stratum_1"," [g]",16598857.0838325,2056883.63876348,0.168849562837665
"1","2004","Stratum_1"," [g]",31019631.0523596,3781306.66774026,0.165701469243768
"1","2005","Stratum_1"," [g]",24247671.4710224,2648710.30466977,0.142683940032363
"1","2006","Stratum_1"," [g]",23852243.6954487,2982956.04775928,0.162714968470095
"1","2007","Stratum_1"," [g]",17475048.8769367,1880528.51795726,0.142954786508828
"1","2008","Stratum_1"," [g]",14556702.3915214,2206672.67151502,0.20560167793738
"1","2009","Stratum_1"," [g]",16597498.7045775,1771398.00271225,0.140167143509482
"1","2010","Stratum_1"," [g]",23990558.067075,2470486.15367435,0.137825388401294
"1","2011","Stratum_1"," [g]",13138265.8572694,1468814.55109326,0.148795133910235
"1","2012","Stratum_1"," [g]",38299833.8292546,4107459.39559366,0.143888578072408
"1","2013","Stratum_1"," [g]",26247659.9113968,3230868.87676253,0.168259426397852
"1","2014","Stratum_1"," [g]",51100896.4045463,7605410.15337346,0.210131261756412
"1","2015","Stratum_1"," [g]",63312287.8646647,7926464.94654493,0.170371539900727
"1","2016","Stratum_1"," [g]",16120005.9231814,1885965.8987718,0.155963436780154
"1","2017","Stratum_1"," [g]",30110942.7509418,3731739.5898954,0.170113806436523
"1","2018","Stratum_1"," [g]",60169966.746475,8121604.42398958,0.189093108812058
"1","2019","Stratum_1"," [g]",15659534.2659244,1827777.18499797,0.159061999156771
"1","2020","Stratum_1"," [g]",71622247.2309975,26176481.5912731,0.560934702853241
"1","2021","Stratum_1"," [g]",44458821.8178323,5712294.16445827,0.176194488617355
"1","2022","Stratum_1"," [g]",18969109.9675484,2613365.86216874,0.189854170128493
"1","2023","Stratum_1"," [g]",17894005.1340526,3165069.13185749,0.252023749759241
"1","1982","Stratum_2"," [g]",7667726.51094202,904840.774147419,0.147619137863391
"1","1983","Stratum_2"," [g]",2381565.74219987,308666.848034302,0.169704947176471
"1","1984","Stratum_2"," [g]",7628035.67642856,895022.20049357,0.148528268765624
"1","1985","Stratum_2"," [g]",6342552.70970707,690104.656858385,0.134579821188527
"1","1986","Stratum_2"," [g]",10618554.8295758,1214819.67007311,0.143046869100727
"1","1987","Stratum_2"," [g]",19992750.1659423,1786252.38865732,0.107530574060929
"1","1988","Stratum_2"," [g]",5175050.44907264,803588.905937694,0.210814525569729
"1","1989","Stratum_2"," [g]",3899921.5085158,1371924.13636366,0.534664949163141
"1","1990","Stratum_2"," [g]",5558491.16510311,1221589.88177276,0.307079309027851
"1","1991","Stratum_2"," [g]",1345182.14719769,375120.444601573,0.394587716558182
"1","1992","Stratum_2"," [g]",5551073.49997784,1139407.67389935,0.288321548662752
"1","1993","Stratum_2"," [g]",7456719.24614505,1084292.01848506,0.190904337394801
"1","1994","Stratum_2"," [g]",6266026.33555819,1292304.83536063,0.293332074281215
"1","1995","Stratum_2"," [g]",8614406.02985995,993509.140796822,0.14698064050057
"1","1996","Stratum_2"," [g]",10983230.1572602,1443341.37243835,0.171857913920623
"1","1997","Stratum_2"," [g]",15595850.9101497,2202831.86848099,0.186784097720003
"1","1998","Stratum_2"," [g]",10974638.5329125,1541179.15404069,0.186112511290224
"1","1999","Stratum_2"," [g]",12700158.238574,1727196.14643823,0.178434300646835
"1","2000","Stratum_2"," [g]",16680959.2154006,1936349.66287687,0.148768001578957
"1","2001","Stratum_2"," [g]",13481891.6714574,1647910.30441673,0.157374432888234
"1","2002","Stratum_2"," [g]",15721071.7455877,1826427.77491137,0.146654101890228
"1","2003","Stratum_2"," [g]",5623836.75266805,977399.115486712,0.233795061717999
"1","2004","Stratum_2"," [g]",12466777.2031111,1703502.17699598,0.181829518592866
"1","2005","Stratum_2"," [g]",10887755.6466549,1501479.16836901,0.179805976086827
"1","2006","Stratum_2"," [g]",4223567.95728166,540802.918370497,0.167972328883712
"1","2007","Stratum_2"," [g]",8576339.22228944,1099878.18595441,0.165933774961866
"1","2008","Stratum_2"," [g]",5547682.06640256,919857.682881807,0.225138641003874
"1","2009","Stratum_2"," [g]",8048630.45537674,1012533.53776027,0.1602439603154
"1","2010","Stratum_2"," [g]",8027717.33234634,1086397.18302071,0.178877807513169
"1","2011","Stratum_2"," [g]",3734651.05872991,606715.281876234,0.219847082896824
"1","2012","Stratum_2"," [g]",13644095.4579471,1602078.13641177,0.150889009767858
"1","2013","Stratum_2"," [g]",6932002.58142995,879245.411406592,0.165744756158098
"1","2014","Stratum_2"," [g]",22850768.1287522,4829114.30455212,0.297638359150258
"1","2015","Stratum_2"," [g]",16428680.8256685,2877686.36780633,0.230718348538895
"1","2016","Stratum_2"," [g]",6827202.82529477,1083928.12299028,0.210561462764272
"1","2017","Stratum_2"," [g]",7548602.45574444,1003624.24796755,0.175320206139722
"1","2018","Stratum_2"," [g]",22402882.795545,3453498.16639236,0.207883506129902
"1","2019","Stratum_2"," [g]",5114019.25386633,769319.595893532,0.202419305150476
"1","2020","Stratum_2"," [g]",23304581.7102857,7422724.86352114,0.468255549536401
"1","2021","Stratum_2"," [g]",12813150.228107,2186891.44290909,0.234088539449076
"1","2022","Stratum_2"," [g]",5550049.27393188,852612.128245317,0.208684768692614
"1","2023","Stratum_2"," [g]",2568521.67802072,606723.748132767,0.343625386263596
"1","1982","Stratum_3"," [g]",2152918.69183761,361676.623073407,0.21597185328628
"1","1983","Stratum_3"," [g]",2957727.9778058,505214.190634327,0.214584917140521
"1","1984","Stratum_3"," [g]",3785745.64668802,619917.52498298,0.208325662900833
"1","1985","Stratum_3"," [g]",4540970.04195544,688394.002601667,0.18554688946718
"1","1986","Stratum_3"," [g]",2704994.58257755,450298.511771398,0.216338429790978
"1","1987","Stratum_3"," [g]",11118218.5851927,1621732.74247376,0.183389880264514
"1","1988","Stratum_3"," [g]",3291080.67369804,718989.062231605,0.2959225493258
"1","1989","Stratum_3"," [g]",2655607.82615568,754301.672621921,0.391308432966009
"1","1990","Stratum_3"," [g]",2328981.01675878,424281.092116463,0.238643697658845
"1","1991","Stratum_3"," [g]",378840.137787193,104663.421660557,0.398290835646429
"1","1992","Stratum_3"," [g]",2088294.37303039,293359.105923365,0.180405333553936
"1","1993","Stratum_3"," [g]",4466058.15857226,594596.747551226,0.166974007996476
"1","1994","Stratum_3"," [g]",4549947.4035123,664664.633986792,0.188968025017364
"1","1995","Stratum_3"," [g]",5535562.3677655,831681.771712144,0.195039866848504
"1","1996","Stratum_3"," [g]",12523328.3154501,2313963.21336529,0.244017807329016
"1","1997","Stratum_3"," [g]",3763388.2257126,580202.642159659,0.201636414060241
"1","1998","Stratum_3"," [g]",7206077.96799155,928062.554638765,0.162787482298593
"1","1999","Stratum_3"," [g]",3414835.71017143,519042.046320164,0.196465716437243
"1","2000","Stratum_3"," [g]",12765726.939106,2024232.14113453,0.203852779898473
"1","2001","Stratum_3"," [g]",8122862.22905612,1354681.4224604,0.219873475065468
"1","2002","Stratum_3"," [g]",6030834.71502011,963750.353418838,0.204004194674564
"1","2003","Stratum_3"," [g]",3595859.63704392,580586.929047553,0.210222104623204
"1","2004","Stratum_3"," [g]",5842970.93832511,956800.117582459,0.217295198317045
"1","2005","Stratum_3"," [g]",7668237.76451319,1256451.19644614,0.20807251714651
"1","2006","Stratum_3"," [g]",4669238.53779672,681497.289663752,0.184299537076071
"1","2007","Stratum_3"," [g]",3209441.11268326,573229.117013862,0.235954769121021
"1","2008","Stratum_3"," [g]",2112109.21646985,409091.190652472,0.257839724722494
"1","2009","Stratum_3"," [g]",1981536.13602924,348897.577418372,0.22639668107354
"1","2010","Stratum_3"," [g]",4305998.94347666,611330.932902626,0.180025197334411
"1","2011","Stratum_3"," [g]",3138206.38409412,458831.729300066,0.18580829582391
"1","2012","Stratum_3"," [g]",6854815.23989687,1236010.52041565,0.233631082061854
"1","2013","Stratum_3"," [g]",5262755.60186986,816255.154687883,0.204464088010423
"1","2014","Stratum_3"," [g]",6804226.50518993,1327910.76429325,0.270415134913588
"1","2015","Stratum_3"," [g]",12250167.1894594,1737733.24972504,0.182701322773065
"1","2016","Stratum_3"," [g]",2923378.6140917,486092.115683858,0.219260941772884
"1","2017","Stratum_3"," [g]",4415796.81153314,682410.556938431,0.200606461106589
"1","2018","Stratum_3"," [g]",11491062.4239693,1886369.40507944,0.220341963309678
