"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [g]",1464141006.8122,95071633.1350134,0.0750753244578565
"1","1983","Stratum_1"," [g]",872800502.220098,50826054.0767961,0.0672118180493264
"1","1984","Stratum_1"," [g]",1303241490.91884,78147770.4512008,0.0691685389512882
"1","1985","Stratum_1"," [g]",958202443.835736,63207918.7715807,0.0759662195529566
"1","1986","Stratum_1"," [g]",1453065828.68384,83669395.541425,0.0659345111640996
"1","1987","Stratum_1"," [g]",2532219975.36234,154213674.025956,0.070096065258469
"1","1988","Stratum_1"," [g]",1065722770.25869,90164489.8220233,0.103244043874125
"1","1989","Stratum_1"," [g]",1150052642.54475,234766019.230417,0.269284623916776
"1","1990","Stratum_1"," [g]",633720179.637885,104933600.768678,0.205802578111093
"1","1991","Stratum_1"," [g]",237695761.636886,36181496.7473476,0.184813847774216
"1","1992","Stratum_1"," [g]",1049566173.55668,90950411.3919374,0.103856103094477
"1","1993","Stratum_1"," [g]",1478752839.81903,107276620.372051,0.0857367873088183
"1","1994","Stratum_1"," [g]",1052094390.47979,85430426.1737105,0.0955886075349292
"1","1995","Stratum_1"," [g]",990307987.347928,76156717.6308639,0.0901231128117229
"1","1996","Stratum_1"," [g]",1452117332.48784,134841978.868725,0.110533531775986
"1","1997","Stratum_1"," [g]",791928773.197601,66031354.2248859,0.0991210220371335
"1","1998","Stratum_1"," [g]",1166861745.40148,90699103.4860882,0.0917458683289852
"1","1999","Stratum_1"," [g]",1547469353.53935,126753038.179458,0.0977230021742155
"1","2000","Stratum_1"," [g]",2092469935.0772,182771860.781838,0.104867654296174
"1","2001","Stratum_1"," [g]",2681305657.82151,267947387.845359,0.121737255499422
"1","2002","Stratum_1"," [g]",1761358429.45413,120183916.755081,0.0797393328031828
"1","2003","Stratum_1"," [g]",2280632780.44279,197743648.738345,0.103032092855654
"1","2004","Stratum_1"," [g]",2761943762.17039,207499992.570215,0.0897341959191361
"1","2005","Stratum_1"," [g]",2018187431.73848,132370871.773699,0.0766206873650604
"1","2006","Stratum_1"," [g]",1390649653.53247,91808131.4769581,0.077283271745372
"1","2007","Stratum_1"," [g]",1589112972.18107,105752420.193763,0.0787084603330067
"1","2008","Stratum_1"," [g]",1242411801.02625,97682723.1888461,0.0948112055700451
"1","2009","Stratum_1"," [g]",1491337554.74042,106343477.75253,0.0838686156994052
"1","2010","Stratum_1"," [g]",1368492098.73274,93875997.3831755,0.081058565016304
"1","2011","Stratum_1"," [g]",800562915.943552,56266833.99187,0.0822627380917677
"1","2012","Stratum_1"," [g]",1053817400.04417,82447406.594746,0.0941796855903668
"1","2013","Stratum_1"," [g]",1446494851.44019,128716491.588697,0.107936749214917
"1","2014","Stratum_1"," [g]",1848863344.753,182759042.578837,0.124998894112746
"1","2015","Stratum_1"," [g]",2274810962.87688,215283762.986519,0.115221027069834
"1","2016","Stratum_1"," [g]",1720919395.3093,151101660.11643,0.10508996076342
"1","2017","Stratum_1"," [g]",1605581514.32777,143716447.247102,0.108402805249542
"1","2018","Stratum_1"," [g]",2314893898.27931,274220657.508538,0.151651368215027
"1","2019","Stratum_1"," [g]",1188712742.84846,96436994.1955831,0.0982949665370107
"1","2020","Stratum_1"," [g]",1546649751.00423,615074568.691141,0.589659475484579
"1","2021","Stratum_1"," [g]",1081888248.69026,98741029.160319,0.110267807593211
"1","2022","Stratum_1"," [g]",1037298159.04966,101205158.672993,0.119986748025378
"1","2023","Stratum_1"," [g]",1011966694.36647,106281601.206887,0.129686562308052
"1","1982","Stratum_2"," [g]",339546559.152116,31246344.6059641,0.103624276865146
"1","1983","Stratum_2"," [g]",190368135.626894,16720087.7012693,0.0995498473479175
"1","1984","Stratum_2"," [g]",373957214.852215,32912761.7977949,0.098563562055835
"1","1985","Stratum_2"," [g]",384930980.771754,33449714.9402646,0.0966399654602968
"1","1986","Stratum_2"," [g]",743788555.110067,58118403.9851596,0.0879348459978026
"1","1987","Stratum_2"," [g]",972577031.923625,67573318.0700196,0.0767333668517398
"1","1988","Stratum_2"," [g]",486776867.869561,52871534.7194514,0.128961494967196
"1","1989","Stratum_2"," [g]",228170901.807601,78990946.8421874,0.471313403400903
"1","1990","Stratum_2"," [g]",180329365.541505,30571619.0028815,0.202637990537776
"1","1991","Stratum_2"," [g]",79368641.6520967,12518492.858308,0.183405229264493
"1","1992","Stratum_2"," [g]",230304469.32352,35155776.2469391,0.184915265742353
"1","1993","Stratum_2"," [g]",406924697.165272,35998542.5262878,0.101936919228119
"1","1994","Stratum_2"," [g]",175140382.041259,27066116.7305735,0.185960161279307
"1","1995","Stratum_2"," [g]",201048740.612181,22168264.2695337,0.126277228502127
"1","1996","Stratum_2"," [g]",468165450.572488,53038446.9408041,0.130897371734298
"1","1997","Stratum_2"," [g]",220765571.688538,25003845.5542792,0.133224827186766
"1","1998","Stratum_2"," [g]",592176262.080366,62067145.9766622,0.122293933088176
"1","1999","Stratum_2"," [g]",413593107.817111,41389580.5979821,0.11729804944568
"1","2000","Stratum_2"," [g]",415083812.753767,41573943.5452896,0.115575305961678
"1","2001","Stratum_2"," [g]",361891168.444414,34846679.3225492,0.110865862744381
"1","2002","Stratum_2"," [g]",543314623.163119,47272967.925776,0.0990682597329326
"1","2003","Stratum_2"," [g]",926885464.826353,132647784.818261,0.171763249612112
"1","2004","Stratum_2"," [g]",1163854191.10581,105875075.350772,0.106291730507514
"1","2005","Stratum_2"," [g]",916325559.344827,81715276.296555,0.103355648945828
"1","2006","Stratum_2"," [g]",532247731.502164,47765726.6496475,0.103073941524888
"1","2007","Stratum_2"," [g]",422248092.072026,40960459.2499727,0.112112576100961
"1","2008","Stratum_2"," [g]",387091534.482561,44632806.9028993,0.135928367372332
"1","2009","Stratum_2"," [g]",387612039.308842,35869430.0948111,0.10579484826477
"1","2010","Stratum_2"," [g]",534216888.469449,55906053.8869879,0.121606827418836
"1","2011","Stratum_2"," [g]",180694940.750639,21135857.1798805,0.13644224150261
"1","2012","Stratum_2"," [g]",233568718.546309,21406927.6185322,0.105703454068745
"1","2013","Stratum_2"," [g]",382732461.275034,33832813.9045663,0.101976878204589
"1","2014","Stratum_2"," [g]",554910823.193957,92241578.6094531,0.212168833299974
"1","2015","Stratum_2"," [g]",168784885.121362,24233189.4012877,0.17219725055883
