"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [g]",14410785515.2246,981596105.671093,0.079277984069263
"1","1983","Stratum_1"," [g]",6552812019.14029,458251975.145736,0.0802441003835421
"1","1984","Stratum_1"," [g]",9431975405.07257,645297646.577186,0.0770492826646378
"1","1985","Stratum_1"," [g]",11945359479.0864,695647731.763442,0.0656145686571996
"1","1986","Stratum_1"," [g]",9801256209.34189,576859827.469951,0.0659986043370606
"1","1987","Stratum_1"," [g]",13228967379.1499,756400904.128826,0.0650750237871806
"1","1988","Stratum_1"," [g]",9530716694.82777,879936802.371122,0.10986824523757
"1","1989","Stratum_1"," [g]",19506745649.168,6926851646.34588,0.519830065250146
"1","1990","Stratum_1"," [g]",17758583174.0558,5369482363.52341,0.406167001100908
"1","1991","Stratum_1"," [g]",8031854704.97293,2177789397.05019,0.355130833513216
"1","1992","Stratum_1"," [g]",21166830093.9924,3318416908.99291,0.201926291455633
"1","1993","Stratum_1"," [g]",16438486134.411,2095388670.09853,0.155859556370404
"1","1994","Stratum_1"," [g]",13302934727.2606,1764371137.38917,0.167948037948418
"1","1995","Stratum_1"," [g]",13406476507.5899,1094903249.86889,0.0963786512687032
"1","1996","Stratum_1"," [g]",23583937223.5601,2061206557.41564,0.104074974526459
"1","1997","Stratum_1"," [g]",19684532615.8126,1932100976.04747,0.118928422693798
"1","1998","Stratum_1"," [g]",26740634150.6668,2507310829.1927,0.112051114761775
"1","1999","Stratum_1"," [g]",22724227326.7993,2341811960.08164,0.125933666401802
"1","2000","Stratum_1"," [g]",30113891766.2582,2357534157.34706,0.0940143540564149
"1","2001","Stratum_1"," [g]",52204036616.7769,3846092398.6035,0.0881749664144255
"1","2002","Stratum_1"," [g]",25365696789.3925,2282533047.92242,0.106497540658862
"1","2003","Stratum_1"," [g]",15492122106.2398,1602915489.74714,0.126316892498952
"1","2004","Stratum_1"," [g]",25508693901.4494,2483346072.63764,0.116374022479683
"1","2005","Stratum_1"," [g]",12330758306.4125,1123370630.25865,0.107504388696543
"1","2006","Stratum_1"," [g]",18016988300.6746,1908158808.13125,0.125734807975244
"1","2007","Stratum_1"," [g]",17042373421.4695,1665621700.45505,0.115531626604795
"1","2008","Stratum_1"," [g]",16901440005.0296,2029873280.78715,0.146882259556894
"1","2009","Stratum_1"," [g]",15257063540.6665,1207640743.94517,0.0930485751964258
"1","2010","Stratum_1"," [g]",11618285586.7289,873855049.039586,0.0909461093897374
"1","2011","Stratum_1"," [g]",11029672255.0416,768263727.239502,0.0820907912558702
"1","2012","Stratum_1"," [g]",17401567896.2656,1497811463.04451,0.101824120528357
"1","2013","Stratum_1"," [g]",24141142298.9048,2039156171.55681,0.102217208009167
"1","2014","Stratum_1"," [g]",38504812485.2908,9095280031.47265,0.326484017225479
"1","2015","Stratum_1"," [g]",26067743847.1094,2209097642.16136,0.104360533310348
"1","2016","Stratum_1"," [g]",25429776052.6578,1978735567.95995,0.0946481017251712
"1","2017","Stratum_1"," [g]",20343034226.6263,1510925081.02713,0.0893777641637663
"1","2018","Stratum_1"," [g]",27182858603.8005,2992944836.4521,0.143127402726829
"1","2019","Stratum_1"," [g]",9041903461.66978,811953985.22097,0.112023357594003
"1","2020","Stratum_1"," [g]",15760787163.658,3710614424.11411,0.321216429405887
"1","2021","Stratum_1"," [g]",11881455193.1068,1318035608.988,0.140116256493126
"1","2022","Stratum_1"," [g]",17961555830.0709,1625373583.66147,0.111285077520249
"1","2023","Stratum_1"," [g]",31003603422.5252,3622780261.21183,0.148815093289986
"1","1982","Stratum_2"," [g]",9795538614.80774,871388332.887473,0.10222815982558
"1","1983","Stratum_2"," [g]",4337430159.43723,358773813.907557,0.0936097342595408
"1","1984","Stratum_2"," [g]",6931816938.1949,534546460.556691,0.0850996614434544
"1","1985","Stratum_2"," [g]",9908178618.1862,639539433.445467,0.0722054743241082
"1","1986","Stratum_2"," [g]",8030692507.74414,537430574.528638,0.0743852111636512
"1","1987","Stratum_2"," [g]",10474623569.6134,667714848.420057,0.0709197146258049
"1","1988","Stratum_2"," [g]",8034058055.19999,810744381.018408,0.11888232431489
"1","1989","Stratum_2"," [g]",15458021705.8775,6743330895.37127,0.666312132787172
"1","1990","Stratum_2"," [g]",15451966612.6941,5285199466.72618,0.465818525776548
"1","1991","Stratum_2"," [g]",5754391418.07486,2102747823.00026,0.503446477170572
"1","1992","Stratum_2"," [g]",17244843492.3242,3279705421.14255,0.248619051680777
"1","1993","Stratum_2"," [g]",13583451321.0247,2066920793.33925,0.186028330043128
"1","1994","Stratum_2"," [g]",9846373667.15825,1728982051.88851,0.229721881180201
"1","1995","Stratum_2"," [g]",10245158829.8688,985771444.040737,0.11226729730131
"1","1996","Stratum_2"," [g]",18746564306.4795,1857441380.48418,0.116189594525992
"1","1997","Stratum_2"," [g]",15523395293.8004,1789249364.39088,0.138329337346101
"1","1998","Stratum_2"," [g]",22012109310.5149,2366243674.28553,0.127281594735067
"1","1999","Stratum_2"," [g]",17231240352.3685,2147592704.37108,0.151093128735812
"1","2000","Stratum_2"," [g]",20554126947.2587,2002230139.4424,0.116042197537878
"1","2001","Stratum_2"," [g]",30849483578.9126,2748253068.18205,0.10451681442549
"1","2002","Stratum_2"," [g]",19953399072.6169,2113581775.2376,0.125515919701034
"1","2003","Stratum_2"," [g]",13252961099.5704,1510084902.45793,0.139181781001039
"1","2004","Stratum_2"," [g]",21337155714.6695,2391921666.38744,0.132816787865425
"1","2005","Stratum_2"," [g]",10654385391.5141,1099156509.79156,0.121303257968412
"1","2006","Stratum_2"," [g]",16049411792.5612,1856033960.92487,0.136975007682745
"1","2007","Stratum_2"," [g]",14621837002.5704,1622195923.58606,0.130565168929374
"1","2008","Stratum_2"," [g]",15377351746.1761,1997983594.1295,0.159146061619129
"1","2009","Stratum_2"," [g]",12148238709.0824,1137794705.48591,0.109468636650378
"1","2010","Stratum_2"," [g]",5293020181.85516,479771898.45976,0.10733292368716
"1","2011","Stratum_2"," [g]",6593559257.75475,600717963.385904,0.107493319557117
"1","2012","Stratum_2"," [g]",13089859637.1628,1396829334.90012,0.124808929111457
"1","2013","Stratum_2"," [g]",16040278724.6343,1669508764.12305,0.12332667229765
"1","2014","Stratum_2"," [g]",31559599702.6094,8952843396.88284,0.39786006849597
"1","2015","Stratum_2"," [g]",14754101352.9373,1633502147.17995,0.134087196257039
"1","2016","Stratum_2"," [g]",12962137709.4013,1425061829.1049,0.13347911267612
"1","2017","Stratum_2"," [g]",13271926224.342,1182715731.00945,0.104270552694532
"1","2018","Stratum_2"," [g]",14019262908.7943,1891643495.39748,0.16798556115913
"1","2019","Stratum_2"," [g]",5927107763.31246,657963400.617935,0.136003564303856
"1","2020","Stratum_2"," [g]",11698019269.5818,2261840630.6063,0.251828230943958
"1","2021","Stratum_2"," [g]",8590136950.62881,1149013590.02992,0.167115150963491
"1","2022","Stratum_2"," [g]",10008018978.1752,1177164560.58254,0.142494062876378
"1","2023","Stratum_2"," [g]",18907389131.113,2587772494.50252,0.172634404029626
"1","1982","Stratum_3"," [g]",2281664232.71934,239745288.346991,0.118565326800928
"1","1983","Stratum_3"," [g]",1311028897.20965,160586122.041703,0.139312169186068
"1","1984","Stratum_3"," [g]",1412714676.02518,208307693.035373,0.169049111830096
"1","1985","Stratum_3"," [g]",1243989073.77741,143840310.788109,0.130118458834427
"1","1986","Stratum_3"," [g]",1054212142.86603,122308116.131539,0.131591219158854
"1","1987","Stratum_3"," [g]",968915358.155071,111192351.012457,0.129127447703231
"1","1988","Stratum_3"," [g]",779660756.771755,140171126.589024,0.220559401563437
"1","1989","Stratum_3"," [g]",2051403656.98362,235492369.432218,0.131746705634551
"1","1990","Stratum_3"," [g]",1147519809.28641,162985168.916648,0.156277956087477
"1","1991","Stratum_3"," [g]",1639690054.41309,143275400.643515,0.0940057756224312
"1","1992","Stratum_3"," [g]",1733868045.74494,157973148.978003,0.100609014305643
"1","1993","Stratum_3"," [g]",1262239708.10679,115966965.04687,0.102288844664519
"1","1994","Stratum_3"," [g]",2094478955.90786,189109855.601193,0.100449250348956
"1","1995","Stratum_3"," [g]",1145060521.83644,204362574.652867,0.207552726320446
"1","1996","Stratum_3"," [g]",1411833058.48857,295304066.525287,0.247116222022315
"1","1997","Stratum_3"," [g]",1548712849.7315,285915604.189583,0.214639174217225
"1","1998","Stratum_3"," [g]",1833025796.75352,305448680.845739,0.191345471604553
"1","1999","Stratum_3"," [g]",1869941375.31282,360369629.802947,0.223947184472286
"1","2000","Stratum_3"," [g]",5529651031.25582,723050200.822707,0.152649641243294
"1","2001","Stratum_3"," [g]",12010658325.3414,1483280635.06983,0.142477983146359
"1","2002","Stratum_3"," [g]",3711972238.93657,489227619.147207,0.151733895148685
"1","2003","Stratum_3"," [g]",1457952691.9234,257342653.398336,0.210738357703945
"1","2004","Stratum_3"," [g]",2284352580.59215,371980957.153923,0.19182315552862
"1","2005","Stratum_3"," [g]",937777963.518123,117412971.950353,0.144289040294296
"1","2006","Stratum_3"," [g]",1262537666.60472,225340452.387085,0.208907600477549
"1","2007","Stratum_3"," [g]",1375408476.00643,178284407.68461,0.14933043380313
"1","2008","Stratum_3"," [g]",1140673867.08018,212818704.313265,0.220957700451618
"1","2009","Stratum_3"," [g]",1515496466.92732,177355573.394009,0.132609165159209
"1","2010","Stratum_3"," [g]",2987390163.44046,314820143.960249,0.119246566428955
"1","2011","Stratum_3"," [g]",3068161925.91772,328981697.042534,0.121124596024306
"1","2012","Stratum_3"," [g]",2569286316.46852,316243623.710646,0.14132755111808
"1","2013","Stratum_3"," [g]",3295730592.12692,457290428.495026,0.163013526533205
"1","2014","Stratum_3"," [g]",3244334792.80692,564536544.654259,0.212741971135654
