"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [g]",14814389152.0417,962950101.57965,0.0747557278029773
"1","1983","Stratum_1"," [g]",7019820989.4819,477219640.336046,0.0773317565379643
"1","1984","Stratum_1"," [g]",9812208926.69514,641922611.208711,0.0728299235918286
"1","1985","Stratum_1"," [g]",12409657836.7511,689835727.238209,0.0620084166925069
"1","1986","Stratum_1"," [g]",10779056898.5451,602000171.204149,0.0621101866711079
"1","1987","Stratum_1"," [g]",13750862310.4982,757701837.69634,0.0620086456287556
"1","1988","Stratum_1"," [g]",9911439339.2169,875092975.076704,0.103585136776709
"1","1989","Stratum_1"," [g]",19200265173.6271,6630190162.22804,0.490944903497192
"1","1990","Stratum_1"," [g]",17551865595.3779,5072599165.93715,0.378098972348144
"1","1991","Stratum_1"," [g]",8257264844.55236,2163356257.30825,0.335295202071553
"1","1992","Stratum_1"," [g]",21402676811.5874,3210919595.69417,0.189170306767681
"1","1993","Stratum_1"," [g]",16612821033.7966,2034407241.36496,0.14728540782862
"1","1994","Stratum_1"," [g]",14105348756.3843,1852835336.39751,0.163461717454895
"1","1995","Stratum_1"," [g]",14106085272.9713,1123169602.82681,0.0926034959400347
"1","1996","Stratum_1"," [g]",24025301127.3554,2034923857.28586,0.0993985015648461
"1","1997","Stratum_1"," [g]",19988404111.9492,1900359485.78649,0.113320189157238
"1","1998","Stratum_1"," [g]",27347252063.1817,2473605500.8907,0.106420129613661
"1","1999","Stratum_1"," [g]",23874817562.0286,2382403938.96398,0.119702807026241
"1","2000","Stratum_1"," [g]",31203920744.8997,2356722737.38379,0.0893458574229238
"1","2001","Stratum_1"," [g]",52058569041.1377,3688881768.15606,0.083496468210499
"1","2002","Stratum_1"," [g]",33511306050.4361,2800229071.76748,0.0975759391673003
"1","2003","Stratum_1"," [g]",18400399660.363,1814593290.87103,0.118618468129124
"1","2004","Stratum_1"," [g]",27730951673.7827,2560104450.15471,0.108908457661783
"1","2005","Stratum_1"," [g]",13493426709.2818,1189843912.36892,0.102622322704836
"1","2006","Stratum_1"," [g]",20286400099.1931,1963592396.14938,0.113304306317543
"1","2007","Stratum_1"," [g]",19727297308.1413,1833492798.17965,0.108444318364908
"1","2008","Stratum_1"," [g]",17387823225.0625,1983980188.61679,0.137235534345686
"1","2009","Stratum_1"," [g]",15673363084.1694,1199509618.20947,0.0886838609450762
"1","2010","Stratum_1"," [g]",12895008661.5109,1000980669.5565,0.0926804227208287
"1","2011","Stratum_1"," [g]",12191209905.0565,839024395.6771,0.0800795398801887
"1","2012","Stratum_1"," [g]",21246920066.9606,1749485604.14635,0.0959898074921688
"1","2013","Stratum_1"," [g]",25880651570.9157,2094594878.02673,0.096519587249023
"1","2014","Stratum_1"," [g]",38290351976.7743,8856229593.27492,0.312202642278238
"1","2015","Stratum_1"," [g]",27091676169.9857,2242192723.13025,0.100162014656413
"1","2016","Stratum_1"," [g]",26916504619.125,2034685188.67644,0.0905066655429463
